PIN,geom,PROPERTYHOUSENUM__asmt,PROPERTYFRACTION__asmt,PROPERTYADDRESS__asmt,PROPERTYCITY__asmt,PROPERTYSTATE__asmt,PROPERTYUNIT__asmt,PROPERTYZIP__asmt,MUNIDESC__asmt,SCHOOLDESC__asmt,NEIGHDESC__asmt,OWNERDESC__asmt,CLASSDESC__asmt,USEDESC__asmt,LOTAREA__asmt,RECORDDATE__asmt,SALEDATE__asmt,SALEPRICE__asmt,SALECODE__asmt,SALEDESC__asmt,PREVSALEDATE__asmt,PREVSALEPRICE__asmt,PREVSALEDATE2__asmt,PREVSALEPRICE2__asmt,FAIRMARKETTOTAL__asmt,STYLEDESC__asmt,STORIES__asmt,YEARBLT__asmt,EXTFINISH_DESC__asmt,ROOFDESC__asmt,BASEMENTDESC__asmt,GRADE__asmt,GRADEDESC__asmt,CONDITIONDESC__asmt,CDUDESC__asmt,TOTALROOMS__asmt,BEDROOMS__asmt,FULLBATHS__asmt,HALFBATHS__asmt,HEATINGCOOLINGDESC__asmt,FIREPLACES__asmt,BSMTGARAGE__asmt,FINISHEDLIVINGAREA__asmt,CARDNUMBER__asmt,ALT_ID__asmt,TAXYEAR__asmt
0026N00323000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9656984197014, 40.4530279535734], [-79.9653592871896, 40.4532224525518], [-79.9651704315458, 40.4530265854231], [-79.965212889995, 40.4529785659154], [-79.9656984197014, 40.4530279535734]]]]}",713, ,HERRON AVE,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,CORPORATION,GOVERNMENT,MUNICIPAL URBAN RENEWAL,12145.0,,06-29-1971,0.0,3,LOVE&AFFECTION,,,,,20600.0,,,,,,,,,,,,,,,,,,,,,2019.0
0010D00057000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9696051118316, 40.4516879326741], [-79.9696489647406, 40.4516688072398], [-79.9697276106027, 40.451792324632], [-79.9696775441437, 40.4518136284573], [-79.9696051118316, 40.4516879326741]]]]}",2720, ,BEDFORD AVE,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,CORPORATION,RESIDENTIAL,ROWHOUSE,757.0,02-23-2018,07-06-2016,1000.0,GV,GOVT SALE,02-04-2015,1301.0,04-24-1992,1.0,24900.0,ROW INTERIOR,2,1930.0,Brick,SHINGLE,Full,D,BELOW AVERAGE,FAIR,FAIR,4.0,2.0,1.0,0.0,Central Heat,0.0,0,868.0,1.0,,2019.0
0010C00036000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9714941206364, 40.4506417580121], [-79.9712575807168, 40.4502670332411], [-79.9713687939767, 40.4502196791108], [-79.9714380410527, 40.450351112154], [-79.971505235076, 40.4503221874766], [-79.9715175177155, 40.4503426949806], [-79.9716890475554, 40.4505579469064], [-79.9716217119073, 40.4505869735969], [-79.9715468370374, 40.4506191201274], [-79.9714941206364, 40.4506417580121]]]]}",2537, ,WEBSTER AVE,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,CORPORATION,RESIDENTIAL,SINGLE FAMILY,7664.0,09-07-2018,07-03-2018,33000.0,1,SHERIFF SALE,12-17-2016,0.0,08-06-1999,60000.0,66500.0,COLONIAL,2,1950.0,Brick,SHINGLE,Full,C,AVERAGE,FAIR,FAIR,7.0,3.0,1.0,1.0,Central Heat,0.0,1,1183.0,1.0,,2019.0
0010D00060000C00,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9695097652852, 40.4515484468508], [-79.9695324316303, 40.4515818960421], [-79.9693498303992, 40.4516582594184], [-79.9693290028662, 40.4516260522], [-79.9695097652852, 40.4515484468508]]]]}",715, ,MORGAN ST,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,REGULAR,RESIDENTIAL,VACANT LAND,817.0,03-05-2014,03-05-2014,1.0,3,LOVE&AFFECTION,01-08-1993,1.0,,,400.0,,,,,,,,,,,,,,,,,,,,,2019.0
0010E00240000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9821428180498, 40.4490782529343], [-79.9822875550082, 40.4489581388653], [-79.9823417845442, 40.4489133419112], [-79.9826004205561, 40.4491123845513], [-79.982490600609, 40.4491879598671], [-79.9823262067252, 40.4492164663313], [-79.9821428180498, 40.4490782529343]]]]}",0, ,CRESCENT ST,PITTSBURGH,PA, ,15219,2nd Ward - PITTSBURGH,Pittsburgh,PITTSBURGH URBAN,CORPORATION,GOVERNMENT,MUNICIPAL GOVERNMENT,7280.0,,12-30-1948,0.0,3,LOVE&AFFECTION,,,,,436800.0,,,,,,,,,,,,,,,,,,,,,2019.0
0010J00400000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9818854768762, 40.4468273060743], [-79.9826913883672, 40.4464855081488], [-79.9828033871529, 40.4466387387281], [-79.9835191438277, 40.4476177904052], [-79.9828032317817, 40.447923464477], [-79.9827057686307, 40.4479651620145], [-79.9818854768762, 40.4468273060743]]]]}",2015, ,BEDFORD AVE,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,PITTSBURGH URBAN,CORPORATION,GOVERNMENT,MUNICIPAL GOVERNMENT,122589.0,,05-17-1866,0.0,3,LOVE&AFFECTION,,,,,1025700.0,,,,,,,,,,,,,,,,,,,,,2019.0
0010G00274000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9722678603846, 40.450207394801], [-79.9720242330705, 40.4502838597141], [-79.9720151914835, 40.450268059258], [-79.9720011592134, 40.4502435377698], [-79.9722469326558, 40.450166680908], [-79.9722678603846, 40.450207394801]]]]}",707, ,WATT LN,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,REGULAR,RESIDENTIAL,ROWHOUSE,1080.0,,04-25-1990,1.0,3,LOVE&AFFECTION,,,,,25900.0,ROW INTERIOR,2,1920.0,Brick,ROLL,Full,D+,BELOW AVERAGE +,FAIR,FAIR,5.0,2.0,1.0,0.0,Central Heat,0.0,0,896.0,1.0,,2019.0
0025S00205000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9676820030409, 40.4528465301129], [-79.9677422690064, 40.4528210045548], [-79.9678981602836, 40.4530662617018], [-79.9678520700637, 40.4530857494938], [-79.9676820030409, 40.4528465301129]]]]}",2903, ,BEDFORD AVE,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,REGULAR,RESIDENTIAL,ROWHOUSE,1478.0,,12-21-1971,0.0,N,NOT APPLICABLE,,,,,27700.0,ROW INTERIOR,2,1910.0,Brick,ROLL,Full,D,BELOW AVERAGE,FAIR,FAIR,5.0,2.0,1.0,0.0,Central Heat,0.0,0,1200.0,1.0,,2019.0
0010D00170000B00,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.969917359424, 40.4511891977467], [-79.9697626756054, 40.4512492919751], [-79.9697601113417, 40.4512502984176], [-79.969758158854, 40.4512510650344], [-79.9697338470564, 40.4512168004776], [-79.969735523605, 40.4512161620407], [-79.9697381111095, 40.4512151764636], [-79.9698954552348, 40.4511550842214], [-79.969917359424, 40.4511891977467]]]]}",704, ,FRANCIS ST,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,REGULAR-ETUX OR ET VIR,RESIDENTIAL,VACANT LAND,727.0,,10-24-1975,750.0,4,OTHER,,,,,300.0,,,,,,,,,,,,,,,,,,,,,2019.0
0010C00053000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.970280133828, 40.4506830252761], [-79.9703492562771, 40.4506536431176], [-79.9704520731101, 40.4508289359836], [-79.9703874076456, 40.4508571330038], [-79.970280133828, 40.4506830252761]]]]}",2627, ,WEBSTER AVE,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,REGULAR,RESIDENTIAL,SINGLE FAMILY,1381.0,03-03-2009,03-03-2009,5600.0,33,PREV FORECLOSE,03-14-2008,1556.0,10-28-1996,100.0,34400.0,OLD STYLE,2,1900.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,FAIR,FAIR,8.0,3.0,1.0,1.0,Central Heat,0.0,0,1632.0,1.0,,2019.0
