PIN,geom,PROPERTYHOUSENUM__asmt,PROPERTYFRACTION__asmt,PROPERTYADDRESS__asmt,PROPERTYCITY__asmt,PROPERTYSTATE__asmt,PROPERTYUNIT__asmt,PROPERTYZIP__asmt,MUNIDESC__asmt,SCHOOLDESC__asmt,NEIGHDESC__asmt,OWNERDESC__asmt,CLASSDESC__asmt,USEDESC__asmt,LOTAREA__asmt,RECORDDATE__asmt,SALEDATE__asmt,SALEPRICE__asmt,SALECODE__asmt,SALEDESC__asmt,PREVSALEDATE__asmt,PREVSALEPRICE__asmt,PREVSALEDATE2__asmt,PREVSALEPRICE2__asmt,FAIRMARKETTOTAL__asmt,STYLEDESC__asmt,STORIES__asmt,YEARBLT__asmt,EXTFINISH_DESC__asmt,ROOFDESC__asmt,BASEMENTDESC__asmt,GRADE__asmt,GRADEDESC__asmt,CONDITIONDESC__asmt,CDUDESC__asmt,TOTALROOMS__asmt,BEDROOMS__asmt,FULLBATHS__asmt,HALFBATHS__asmt,HEATINGCOOLINGDESC__asmt,FIREPLACES__asmt,BSMTGARAGE__asmt,FINISHEDLIVINGAREA__asmt,CARDNUMBER__asmt,ALT_ID__asmt,TAXYEAR__asmt
0049C00226000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9554679021639, 40.4715038151931], [-79.9555125105036, 40.4714670132813], [-79.9558028341011, 40.4716737758014], [-79.9557555069702, 40.471713532541], [-79.9554679021639, 40.4715038151931]]]]}",4625, ,CARLTON ST,PITTSBURGH,PA, ,15201,9th Ward - PITTSBURGH,Pittsburgh,10902,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,2310.0,,11-18-1994,40000.0,0,VALID SALE,,,,,87700.0,OLD STYLE,2,1890.0,Brick,SHINGLE,Full,C-,AVERAGE -,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat,0.0,0,1057.0,1.0,,2019.0
0049G00038000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9572056309113, 40.4679829553112], [-79.957425299334, 40.4678327952338], [-79.9574820410064, 40.4678738828898], [-79.9572550339007, 40.4680277983748], [-79.9572056309113, 40.4679829553112]]]]}",356, ,42ND ST,PITTSBURGH,PA, ,15201,9th Ward - PITTSBURGH,Pittsburgh,10902,REGULAR,RESIDENTIAL,ROWHOUSE,1906.0,05-25-2017,05-01-2017,0.0,3,LOVE&AFFECTION,07-31-1998,55000.0,04-04-1989,46000.0,60800.0,ROW END,2,1900.0,Brick,SHINGLE,Full,C-,AVERAGE -,AVERAGE,FAIR,6.0,3.0,1.0,0.0,Central Heat with AC,0.0,0,1152.0,1.0,,2019.0
0080G00092000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9562617142991, 40.4778798333265], [-79.9563018107585, 40.4778377890913], [-79.9566090040015, 40.4779950742058], [-79.9565675582975, 40.4780389067699], [-79.9562617142991, 40.4778798333265]]]]}",4931, ,BUTLER ST,PITTSBURGH,PA, ,15201,9th Ward - PITTSBURGH,Pittsburgh,10902,CORPORATION,RESIDENTIAL,ROWHOUSE,2000.0,05-25-2011,05-25-2011,20000.0,1,SHERIFF SALE,12-08-1999,22000.0,,,75900.0,ROW INTERIOR,3,1910.0,Brick,ROLL,Full,D+,BELOW AVERAGE +,FAIR,FAIR,6.0,3.0,1.0,0.0,Central Heat,0.0,0,2700.0,1.0,,2019.0
0080P00148000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9604802375594, 40.4737154408577], [-79.9605175100867, 40.4736852123149], [-79.9606753782613, 40.4737946114555], [-79.9606346782543, 40.4738280886507], [-79.9604802375594, 40.4737154408577]]]]}",4517, ,PLUMMER ST,PITTSBURGH,PA, ,15201,9th Ward - PITTSBURGH,Pittsburgh,10902,REGULAR,RESIDENTIAL,ROWHOUSE,928.0,,01-29-2002,28000.0,6,CHANGED AFTER,08-21-1960,5950.0,,,75200.0,ROW INTERIOR,2,1900.0,Brick,SHINGLE,Full,D,BELOW AVERAGE,AVERAGE,AVERAGE,5.0,2.0,1.0,0.0,Central Heat with AC,0.0,0,1448.0,1.0,,2019.0
0049L00099000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9569221003589, 40.4673911916928], [-79.9571725221706, 40.4671947520698], [-79.957228471085, 40.4672354201394], [-79.9569751334299, 40.4674297667502], [-79.9569221003589, 40.4673911916928]]]]}",319, ,MAIN ST,PITTSBURGH,PA, ,15201,9th Ward - PITTSBURGH,Pittsburgh,10902,REGULAR,RESIDENTIAL,SINGLE FAMILY,2000.0,11-19-2007,11-19-2007,0.0,3,LOVE&AFFECTION,05-05-1950,0.0,,,92300.0,OLD STYLE,2,1870.0,Brick,SHINGLE,Part,D,BELOW AVERAGE,AVERAGE,AVERAGE,6.0,3.0,2.0,0.0,Central Heat,0.0,0,1565.0,1.0,,2019.0
0049B00014000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9605896052014, 40.4719513054986], [-79.9607941539852, 40.4717811559886], [-79.9608189108032, 40.4718015275957], [-79.9608562017342, 40.4718322334645], [-79.9606488303188, 40.4719949754343], [-79.9605896052014, 40.4719513054986]]]]}",178, ,44TH ST,PITTSBURGH,PA, ,15201,9th Ward - PITTSBURGH,Pittsburgh,10902,REGULAR,RESIDENTIAL,TWO FAMILY,1944.0,,01-14-1999,1.0,3,LOVE&AFFECTION,03-29-1979,10500.0,,,86100.0,MULTI-FAMILY,2,1890.0,Brick,SHINGLE,Full,D+,BELOW AVERAGE +,FAIR,FAIR,11.0,4.0,2.0,0.0,Central Heat,0.0,0,2016.0,1.0,,2019.0
0049B00259000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9593561872037, 40.4698561147297], [-79.959394186156, 40.4698782948492], [-79.9592713496353, 40.4699982775152], [-79.9592166404725, 40.4699691187436], [-79.9593561872037, 40.4698561147297]]]]}",232, ,43RD ST,PITTSBURGH,PA, ,15201,9th Ward - PITTSBURGH,Pittsburgh,10902,REGULAR,RESIDENTIAL,SINGLE FAMILY,921.0,12-09-2016,12-01-2016,101575.0,0,VALID SALE,12-06-1996,20000.0,,,54300.0,SEMI DETACHED,2,1890.0,Brick,SHINGLE,Full,D,BELOW AVERAGE,FAIR,FAIR,6.0,2.0,1.0,0.0,Central Heat,0.0,0,1164.0,1.0,,2019.0
0080P00124000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9613244849558, 40.4736997050771], [-79.9613764777607, 40.4737373570208], [-79.9611355325525, 40.4739393706889], [-79.9610821392094, 40.4739010212969], [-79.9613244849558, 40.4736997050771]]]]}",131, ,45TH ST,PITTSBURGH,PA, ,15201,9th Ward - PITTSBURGH,Pittsburgh,10902,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,2000.0,,07-31-1975,5000.0,0,VALID SALE,,,,,82500.0,SEMI DETACHED,2,1900.0,Brick,SHINGLE,Full,D,BELOW AVERAGE,AVERAGE,AVERAGE,5.0,2.0,1.0,0.0,Central Heat,1.0,0,1316.0,1.0,,2019.0
0080F00004000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9583664151001, 40.4771064222633], [-79.9583958211308, 40.4770826305953], [-79.958555750445, 40.4772037448831], [-79.958526868545, 40.4772264570569], [-79.9583664151001, 40.4771064222633]]]]}",4821, ,HATFIELD ST,PITTSBURGH,PA, ,15201,9th Ward - PITTSBURGH,Pittsburgh,10902,CORPORATION,RESIDENTIAL,ROWHOUSE,864.0,,,,,,,,,,86000.0,ROW END,3,1910.0,Brick,ROLL,Full,C,AVERAGE,AVERAGE,AVERAGE,5.0,2.0,1.0,,Central Heat,,,1344.0,1.0,,2019.0
0049L00202000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9556397172717, 40.4664242348924], [-79.9558703827895, 40.4662621757747], [-79.955925328924, 40.4663024731844], [-79.9556970418014, 40.4664694543387], [-79.9556397172717, 40.4664242348924]]]]}",365, ,MAIN ST,PITTSBURGH,PA, ,15201,9th Ward - PITTSBURGH,Pittsburgh,10902,REGULAR,RESIDENTIAL,SINGLE FAMILY,2284.0,03-01-2005,03-01-2005,74000.0,3,LOVE&AFFECTION,08-27-1998,39900.0,11-21-1984,28000.0,70200.0,OLD STYLE,2,1900.0,Frame,SHINGLE,Full,D,BELOW AVERAGE,AVERAGE,AVERAGE,5.0,2.0,1.0,0.0,Central Heat,0.0,0,1056.0,1.0,,2019.0
