PIN,geom,PROPERTYHOUSENUM__asmt,PROPERTYFRACTION__asmt,PROPERTYADDRESS__asmt,PROPERTYCITY__asmt,PROPERTYSTATE__asmt,PROPERTYUNIT__asmt,PROPERTYZIP__asmt,MUNIDESC__asmt,SCHOOLDESC__asmt,NEIGHDESC__asmt,OWNERDESC__asmt,CLASSDESC__asmt,USEDESC__asmt,LOTAREA__asmt,RECORDDATE__asmt,SALEDATE__asmt,SALEPRICE__asmt,SALECODE__asmt,SALEDESC__asmt,PREVSALEDATE__asmt,PREVSALEPRICE__asmt,PREVSALEDATE2__asmt,PREVSALEPRICE2__asmt,FAIRMARKETTOTAL__asmt,STYLEDESC__asmt,STORIES__asmt,YEARBLT__asmt,EXTFINISH_DESC__asmt,ROOFDESC__asmt,BASEMENTDESC__asmt,GRADE__asmt,GRADEDESC__asmt,CONDITIONDESC__asmt,CDUDESC__asmt,TOTALROOMS__asmt,BEDROOMS__asmt,FULLBATHS__asmt,HALFBATHS__asmt,HEATINGCOOLINGDESC__asmt,FIREPLACES__asmt,BSMTGARAGE__asmt,FINISHEDLIVINGAREA__asmt,CARDNUMBER__asmt,ALT_ID__asmt,TAXYEAR__asmt
0028H00153000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9507985844816, 40.4394787507342], [-79.950760502738, 40.4394129791502], [-79.9510113899009, 40.4393308148165], [-79.9510475869147, 40.4393956360114], [-79.9507985844816, 40.4394787507342]]]]}",40, ,BOUNDARY ST,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,10403,CORPORATION,RESIDENTIAL,THREE FAMILY,2075.0,07-03-2013,07-03-2013,233000.0,H,MULTI-PARCEL SA,07-17-2006,1.0,12-05-2005,0.0,65000.0,MULTI-FAMILY,3,1890.0,Frame,ROLL,Full,D,BELOW AVERAGE,FAIR,FAIR,12.0,6.0,3.0,0.0,Central Heat,0.0,0,3132.0,1.0,,2019.0
0028G00243000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9542850853389, 40.4388500396973], [-79.9545090433323, 40.4386836705538], [-79.9545517656787, 40.4387180489665], [-79.9543248630385, 40.4388833289981], [-79.9542850853389, 40.4388500396973]]]]}",347, ,ATWOOD ST,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,10403,CORPORATION,RESIDENTIAL,ROWHOUSE,1620.0,11-04-2014,11-03-2014,225000.0,14,TIME ON MARKET,11-13-2006,1.0,05-05-1950,0.0,160000.0,ROW END,3,1900.0,Brick,SHINGLE,Full,C,AVERAGE,AVERAGE,AVERAGE,7.0,4.0,1.0,0.0,Central Heat,0.0,0,2112.0,1.0,,2019.0
0028K00015000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9581028140804, 40.4377786900812], [-79.9583315134156, 40.4376174180633], [-79.9583996351591, 40.437673001362], [-79.9581757946572, 40.4378372236383], [-79.9581028140804, 40.4377786900812]]]]}",303, ,COLTART AVE,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,10403,REGULAR,RESIDENTIAL,SINGLE FAMILY,2700.0,,11-25-1958,0.0,N,NOT APPLICABLE,,,,,81000.0,OLD STYLE,2,1927.0,Brick,SHINGLE,Full,C,AVERAGE,AVERAGE,AVERAGE,8.0,4.0,1.0,1.0,Central Heat,1.0,0,1955.0,1.0,,2019.0
0028M00046000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9531716813247, 40.4379529915309], [-79.9533992839335, 40.4377907669335], [-79.9534704303767, 40.4378474162662], [-79.953286719244, 40.4380211605581], [-79.9531716813247, 40.4379529915309]]]]}",417, ,ATWOOD ST,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,10403,CORPORATION,RESIDENTIAL,TWO FAMILY,2268.0,06-26-2017,06-22-2017,1.0,3,LOVE&AFFECTION,09-20-2014,1.0,02-26-2009,1.0,115600.0,MULTI-FAMILY,2,1900.0,Brick,ROLL,Full,D+,BELOW AVERAGE +,AVERAGE,AVERAGE,7.0,4.0,3.0,1.0,Central Heat,0.0,0,2850.0,1.0,,2019.0
0028L00273000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.954551749971, 40.43698186903], [-79.9546136452322, 40.4369240097942], [-79.9547852245985, 40.4370654711637], [-79.9547261357826, 40.4371206284563], [-79.954551749971, 40.43698186903]]]]}",403, 407,SEMPLE ST,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,PITTSBURGH URBAN,CORPORATION,COMMERCIAL,RETL/APT'S OVER,2224.0,09-28-2006,09-28-2006,440000.0,H,MULTI-PARCEL SA,06-29-1983,1.0,,,282900.0,,,,,,,,,,,,,,,,,,,,,2019.0
0028G00214000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9557439788585, 40.4401578770513], [-79.9558058153176, 40.4401128078259], [-79.9560578420199, 40.4399290812944], [-79.9561531255448, 40.44000572386], [-79.9559182927394, 40.4401757606913], [-79.9559308069369, 40.4401902814193], [-79.9558507649507, 40.440245581654], [-79.9557439788585, 40.4401578770513]]]]}",251, ,ATWOOD ST,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,PITTSBURGH URBAN,REGULAR,COMMERCIAL,RETL/APT'S OVER,4436.0,02-25-2004,02-25-2004,0.0,H,MULTI-PARCEL SA,06-18-1992,1.0,,,251200.0,,,,,,,,,,,,,,,,,,,,,2019.0
0028G00345000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9535912610333, 40.4402878673384], [-79.9538851320557, 40.4400693912562], [-79.953975470729, 40.4401200141118], [-79.9539761405962, 40.4401203912858], [-79.9537412583159, 40.4403719476378], [-79.9535912610333, 40.4402878673384]]]]}",322, ,S BOUQUET ST,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,10403,REGULAR,RESIDENTIAL,TWO FAMILY,4331.0,,07-05-2002,1.0,3,LOVE&AFFECTION,05-05-1950,0.0,,,92300.0,MULTI-FAMILY,2,1930.0,Brick,SHINGLE,Full,C+,AVERAGE +,AVERAGE,AVERAGE,8.0,4.0,2.0,0.0,Central Heat with AC,0.0,1,1920.0,1.0,,2019.0
0028G00211000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.956025551183, 40.4402587195857], [-79.9562589933155, 40.4400908166353], [-79.9562961165811, 40.4401206804172], [-79.9560659467247, 40.4402904884071], [-79.956025551183, 40.4402587195857]]]]}",245, ,ATWOOD ST,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,10403,REGULAR-ETUX OR ET VIR,RESIDENTIAL,TWO FAMILY,1440.0,02-12-2014,02-12-2014,1.0,3,LOVE&AFFECTION,09-19-1994,135000.0,,,79100.0,MULTI-FAMILY,2,1900.0,Brick,SHINGLE,Full,C,AVERAGE,FAIR,FAIR,6.0,4.0,2.0,0.0,Central Heat,0.0,0,1723.0,1.0,,2019.0
0028L00002000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9560489511664, 40.4358693917195], [-79.9560366722874, 40.4359042011472], [-79.9557309573364, 40.4358797195446], [-79.9557518675083, 40.4358084985876], [-79.9560489511664, 40.4358693917195]]]]}",3426, ,BATES ST,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,10403,REGULAR,RESIDENTIAL,ROWHOUSE,2346.0,04-02-2008,04-02-2008,53500.0,YY,OTHER,03-12-1990,16000.0,,,50000.0,ROW END,2,1900.0,Frame,ROLL,Full,D+,BELOW AVERAGE +,FAIR,FAIR,6.0,3.0,1.0,0.0,Central Heat,0.0,0,1197.0,1.0,,2019.0
0028L00011000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9572149140726, 40.4365010969526], [-79.9574544452257, 40.4363276745033], [-79.9575272487708, 40.4363927784125], [-79.9574987844078, 40.4364124982467], [-79.9572867477173, 40.4365593568602], [-79.9572149140726, 40.4365010969526]]]]}",350, ,COLTART AVE,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,10403,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,2790.0,03-18-2010,03-18-2010,1.0,3,LOVE&AFFECTION,09-21-2001,1.0,10-14-1997,57000.0,100300.0,OLD STYLE,2,1932.0,Brick,SHINGLE,Full,C,AVERAGE,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat,0.0,0,1260.0,1.0,,2019.0
