PIN,geom,PROPERTYHOUSENUM__asmt,PROPERTYFRACTION__asmt,PROPERTYADDRESS__asmt,PROPERTYCITY__asmt,PROPERTYSTATE__asmt,PROPERTYUNIT__asmt,PROPERTYZIP__asmt,MUNIDESC__asmt,SCHOOLDESC__asmt,NEIGHDESC__asmt,OWNERDESC__asmt,CLASSDESC__asmt,USEDESC__asmt,LOTAREA__asmt,RECORDDATE__asmt,SALEDATE__asmt,SALEPRICE__asmt,SALECODE__asmt,SALEDESC__asmt,PREVSALEDATE__asmt,PREVSALEPRICE__asmt,PREVSALEDATE2__asmt,PREVSALEPRICE2__asmt,FAIRMARKETTOTAL__asmt,STYLEDESC__asmt,STORIES__asmt,YEARBLT__asmt,EXTFINISH_DESC__asmt,ROOFDESC__asmt,BASEMENTDESC__asmt,GRADE__asmt,GRADEDESC__asmt,CONDITIONDESC__asmt,CDUDESC__asmt,TOTALROOMS__asmt,BEDROOMS__asmt,FULLBATHS__asmt,HALFBATHS__asmt,HEATINGCOOLINGDESC__asmt,FIREPLACES__asmt,BSMTGARAGE__asmt,FINISHEDLIVINGAREA__asmt,CARDNUMBER__asmt,ALT_ID__asmt,TAXYEAR__asmt
0011E00318000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9825246021808, 40.4398806502029], [-79.9825507719314, 40.4399166637238], [-79.9822619032606, 40.4400400268826], [-79.98223713689, 40.440004615556], [-79.9825246021808, 40.4398806502029]]]]}",0, ,MILLER ST,PITTSBURGH,PA, ,15219,3rd Ward - PITTSBURGH,Pittsburgh,CRAWFORD - ROBERTS,CORPORATION,GOVERNMENT,MUNICIPAL GOVERNMENT,1395.0,07-23-2010,07-23-2010,1.0,9,OTHER INVALID,07-08-1974,0.0,,,600.0,,,,,,,,,,,,,,,,,,,,,2019.0
0011E00297000A00,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9812788186072, 40.4392742590586], [-79.9812899189242, 40.439138035439], [-79.9813406736744, 40.4391406225603], [-79.9813297815789, 40.439274831187], [-79.9812788186072, 40.4392742590586]]]]}",1719, ,COLWELL ST,PITTSBURGH,PA, ,15219,3rd Ward - PITTSBURGH,Pittsburgh,CRAWFORD - ROBERTS,REGULAR,RESIDENTIAL,ROWHOUSE,695.0,,05-07-1976,0.0,3,LOVE&AFFECTION,,,,,17300.0,ROW INTERIOR,2,1890.0,Brick,ROLL,Full,D,BELOW AVERAGE,UNSOUND,UNSOUND,5.0,2.0,1.0,0.0,Central Heat,0.0,0,952.0,1.0,,2019.0
0002H00126000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9846098168503, 40.4391528937288], [-79.9846309789753, 40.438904736637], [-79.9846976345946, 40.4389072002434], [-79.9846945467174, 40.4389459991155], [-79.984691264367, 40.4389879386062], [-79.9846883524519, 40.4390248119668], [-79.9846841915888, 40.4390773153265], [-79.984681051542, 40.4391171912052], [-79.9846780143517, 40.4391556934558], [-79.9846098168503, 40.4391528937288]]]]}",1506, ,COLWELL ST,PITTSBURGH,PA, ,15219,3rd Ward - PITTSBURGH,Pittsburgh,CRAWFORD - ROBERTS,CORPORATION,RESIDENTIAL,THREE FAMILY,1800.0,03-08-2011,03-08-2011,15000.0,35,CORP TRANSFER,06-17-2010,6000.0,02-10-2005,23000.0,178800.0,MULTI-FAMILY,3,1890.0,Brick,ROLL,Full,C+,AVERAGE +,AVERAGE,AVERAGE,11.0,5.0,3.0,0.0,Central Heat with AC,0.0,0,2698.0,1.0,,2019.0
0011E00286000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9807791865745, 40.4397309415997], [-79.9807846729561, 40.4396747123848], [-79.9811295023742, 40.4396935779447], [-79.9811250364206, 40.4397495199535], [-79.9807791865745, 40.4397309415997]]]]}",221, ,DINWIDDIE ST,PITTSBURGH,PA, ,15219,3rd Ward - PITTSBURGH,Pittsburgh,CRAWFORD - ROBERTS,REGULAR,RESIDENTIAL,TOWNHOUSE,2028.0,,05-07-1987,7000.0,0,VALID SALE,,,,,124800.0,TOWNHOUSE,2,1890.0,Masonry FRAME,SHINGLE,None,C,AVERAGE,AVERAGE,AVERAGE,8.0,6.0,2.0,0.0,Central Heat with AC,0.0,0,2727.0,1.0,,2019.0
0011E00052000A00,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9821586313292, 40.4390404278005], [-79.9821722768814, 40.4388970831343], [-79.982210031789, 40.4388977250059], [-79.9822059435698, 40.439042946369], [-79.9821586313292, 40.4390404278005]]]]}",0, ,COLWELL ST,PITTSBURGH,PA, ,15219,3rd Ward - PITTSBURGH,Pittsburgh,CRAWFORD - ROBERTS,CORPORATION,RESIDENTIAL,VACANT LAND,600.0,10-23-2012,10-23-2012,1.0,H,MULTI-PARCEL SA,05-11-2007,7599.0,08-23-1949,0.0,25200.0,,,,,,,,,,,,,,,,,,,,,2019.0
0009M00136000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.985045891696, 40.4467599910608], [-79.9851552359359, 40.4467111545395], [-79.9852573872983, 40.4468491279901], [-79.9851440947353, 40.4468969630404], [-79.985045891696, 40.4467599910608]]]]}",0, 1/2,RIDGEWAY ST,PITTSBURGH,PA, ,15219,3rd Ward - PITTSBURGH,Pittsburgh,CRAWFORD - ROBERTS,CORPORATION,RESIDENTIAL,VACANT LAND,1980.0,02-08-2011,02-08-2011,19333.0,2,CITY TREASURER,01-28-1975,0.0,,,31400.0,,,,,,,,,,,,,,,,,,,,,2019.0
0011A00290000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9792409217377, 40.4419625788661], [-79.9795631805453, 40.4418268018796], [-79.9796985705467, 40.442025806097], [-79.9793807787248, 40.4421553877067], [-79.9792409217377, 40.4419625788661]]]]}",0, ,DEVILLIERS ST,PITTSBURGH,PA, ,15219,3rd Ward - PITTSBURGH,Pittsburgh,CRAWFORD - ROBERTS,CORPORATION,GOVERNMENT,OWNED BY METRO HOUSING AU,8000.0,,01-06-1948,0.0,3,LOVE&AFFECTION,,,,,45300.0,,,,,,,,,,,,,,,,,,,,,2019.0
0011E00360000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9824919438653, 40.4395879538368], [-79.9827727942406, 40.4394738363283], [-79.9828638984142, 40.4394367911142], [-79.9828979154212, 40.4394881893913], [-79.9827728146849, 40.4395414066637], [-79.9825314558397, 40.4396443494557], [-79.9824919438653, 40.4395879538368]]]]}",0, ,MILLER ST,PITTSBURGH,PA, ,15219,3rd Ward - PITTSBURGH,Pittsburgh,CRAWFORD - ROBERTS,CORPORATION,GOVERNMENT,MUNICIPAL GOVERNMENT,2540.0,07-23-2010,07-23-2010,1.0,9,OTHER INVALID,07-24-1984,0.0,,,1000.0,,,,,,,,,,,,,,,,,,,,,2019.0
0011A00049000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9817427043865, 40.4413234695069], [-79.9820589227023, 40.4411935919434], [-79.9820935450487, 40.4412416641542], [-79.9817769699265, 40.4413715246672], [-79.9817427043865, 40.4413234695069]]]]}",0, ,HELDMAN ST,PITTSBURGH,PA, ,15219,3rd Ward - PITTSBURGH,Pittsburgh,CRAWFORD - ROBERTS,REGULAR,RESIDENTIAL,VACANT LAND,2000.0,,05-17-1982,8000.0,0,VALID SALE,,,,,31500.0,,,,,,,,,,,,,,,,,,,,,2019.0
0011A00030000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9820350332759, 40.4411604620917], [-79.9820251467783, 40.4411467421552], [-79.9822992287541, 40.4410314752957], [-79.9823362874911, 40.4410825642244], [-79.9820589227023, 40.4411935919434], [-79.9820350332759, 40.4411604620917]]]]}",103, ,ROBERTS ST,PITTSBURGH,PA, ,15219,3rd Ward - PITTSBURGH,Pittsburgh,CRAWFORD - ROBERTS,CORPORATION,RESIDENTIAL,THREE FAMILY,1800.0,07-19-2018,07-10-2018,190000.0,H,MULTI-PARCEL SA,10-03-1988,25000.0,,,43000.0,MULTI-FAMILY,3,1890.0,Brick,ROLL,Full,C,AVERAGE,AVERAGE,AVERAGE,9.0,4.0,2.0,0.0,Central Heat with AC,0.0,0,2848.0,1.0,,2019.0
