PIN,geom,PROPERTYHOUSENUM__asmt,PROPERTYFRACTION__asmt,PROPERTYADDRESS__asmt,PROPERTYCITY__asmt,PROPERTYSTATE__asmt,PROPERTYUNIT__asmt,PROPERTYZIP__asmt,MUNIDESC__asmt,SCHOOLDESC__asmt,NEIGHDESC__asmt,OWNERDESC__asmt,CLASSDESC__asmt,USEDESC__asmt,LOTAREA__asmt,RECORDDATE__asmt,SALEDATE__asmt,SALEPRICE__asmt,SALECODE__asmt,SALEDESC__asmt,PREVSALEDATE__asmt,PREVSALEPRICE__asmt,PREVSALEDATE2__asmt,PREVSALEPRICE2__asmt,FAIRMARKETTOTAL__asmt,STYLEDESC__asmt,STORIES__asmt,YEARBLT__asmt,EXTFINISH_DESC__asmt,ROOFDESC__asmt,BASEMENTDESC__asmt,GRADE__asmt,GRADEDESC__asmt,CONDITIONDESC__asmt,CDUDESC__asmt,TOTALROOMS__asmt,BEDROOMS__asmt,FULLBATHS__asmt,HALFBATHS__asmt,HEATINGCOOLINGDESC__asmt,FIREPLACES__asmt,BSMTGARAGE__asmt,FINISHEDLIVINGAREA__asmt,CARDNUMBER__asmt,ALT_ID__asmt,TAXYEAR__asmt
0046S00356000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0031772225905, 40.4629345109564], [-80.0027437071491, 40.4629252035875], [-80.0027245588885, 40.4627554920164], [-80.0031574139661, 40.4627720219208], [-80.0031772225905, 40.4629345109564]]]]}",0, ,WARREN ST,PITTSBURGH,PA, ,15212,25th Ward - PITTSBURGH,Pittsburgh,WARD 25,REGULAR-ETUX OR ET VIR,RESIDENTIAL,VACANT LAND,7200.0,,08-23-2002,3500.0,H,MULTI-PARCEL SA,01-20-1999,1.0,01-02-1985,500.0,2600.0,,,,,,,,,,,,,,,,,,,,,2019.0
0046K00168000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0086320343396, 40.4650071699562], [-80.0090917795968, 40.4649271348904], [-80.0091187362527, 40.4650073608568], [-80.0086620408151, 40.4650980665234], [-80.0086320343396, 40.4650071699562]]]]}",2118, ,LETSCHE ST,PITTSBURGH,PA, ,15214,26th Ward - PITTSBURGH,Pittsburgh,WARD 26 - PERRY SOUTH,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,5063.0,,03-24-2000,49900.0,U,OTHER VALID,12-17-1999,24000.0,,,55600.0,OLD STYLE,2,1900.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat,0.0,0,1710.0,1.0,,2019.0
0046P00311000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0079703923492, 40.4631645637088], [-80.0083804349966, 40.4630901497656], [-80.0083986125689, 40.463149860323], [-80.0080191563173, 40.4632251419174], [-80.0079923736421, 40.4632305644434], [-80.0079703923492, 40.4631645637088]]]]}",1934, ,LETSCHE ST,PITTSBURGH,PA, ,15214,25th Ward - PITTSBURGH,Pittsburgh,WARD 25,REGULAR,RESIDENTIAL,SINGLE FAMILY,2580.0,10-27-2006,10-27-2006,1.0,3,LOVE&AFFECTION,05-05-1950,0.0,,,56500.0,OLD STYLE,2,1845.0,Frame,SHINGLE,Full,C-,AVERAGE -,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat,0.0,0,1661.0,1.0,,2019.0
0023D00191000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0021680781137, 40.4618154586626], [-80.0021683876825, 40.461804481324], [-80.0021715561973, 40.4616923559127], [-80.0025264703301, 40.4616974895739], [-80.002533958838, 40.4616988109645], [-80.0025308958566, 40.4618196942476], [-80.0025185110738, 40.4618195510694], [-80.0021680781137, 40.4618154586626]]]]}",1714, ,WARREN ST,PITTSBURGH,PA, ,15212,25th Ward - PITTSBURGH,Pittsburgh,WARD 25,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,4600.0,,12-13-1989,0.0,9,OTHER INVALID,,,,,58500.0,OLD STYLE,2,1900.0,Frame,SHINGLE,Full,C,AVERAGE,FAIR,FAIR,6.0,3.0,2.0,0.0,Central Heat,0.0,0,2172.0,1.0,,2019.0
0023C00155000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0049899244041, 40.4616986861247], [-80.0053474280138, 40.4616353549326], [-80.0053637653051, 40.4616321255766], [-80.0053807937375, 40.4616844956511], [-80.0053638952684, 40.4616876135309], [-80.0050081184049, 40.4617533260786], [-80.0049899244041, 40.4616986861247]]]]}",1716, ,MEADVILLE ST,PITTSBURGH,PA, ,15214,25th Ward - PITTSBURGH,Pittsburgh,WARD 25,REGULAR,RESIDENTIAL,SINGLE FAMILY,2000.0,07-12-2017,06-30-2017,85691.0,36,QUIT CLAIM / SPEC WARRNTY,03-10-2008,15000.0,07-26-2007,4195.0,35900.0,OLD STYLE,2,1915.0,Frame,SHINGLE,None,C-,AVERAGE -,AVERAGE,FAIR,4.0,2.0,2.0,0.0,Central Heat,0.0,0,1294.0,1.0,,2019.0
0046S00313000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0012811268881, 40.4629441540204], [-80.0012690468738, 40.4628303355308], [-80.0015978693134, 40.462833577545], [-80.0016017856913, 40.4629508759779], [-80.0012811268881, 40.4629441540204]]]]}",0, ,SPRAIN ST,PITTSBURGH,PA, ,15212,25th Ward - PITTSBURGH,Pittsburgh,WARD 25,CORPORATION,GOVERNMENT,MUNICIPAL GOVERNMENT,3526.0,,06-05-1950,0.0,3,LOVE&AFFECTION,,,,,1300.0,,,,,,,,,,,,,,,,,,,,,2019.0
0046S00293000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.002308178067, 40.463339897049], [-80.0020158989606, 40.4633346083672], [-80.0019992257466, 40.4631776648332], [-80.0022911501221, 40.4631823424241], [-80.002308178067, 40.463339897049]]]]}",0, ,WAMPUM ST,PITTSBURGH,PA, ,15212,25th Ward - PITTSBURGH,Pittsburgh,WARD 25,CORPORATION,GOVERNMENT,MUNICIPAL GOVERNMENT,4800.0,,07-28-1943,0.0,3,LOVE&AFFECTION,,,,,1800.0,,,,,,,,,,,,,,,,,,,,,2019.0
0046P00323000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0082628542191, 40.4639269221633], [-80.0087200409189, 40.4638376706404], [-80.0087440897883, 40.4639116843104], [-80.008283256325, 40.4639859036809], [-80.0082628542191, 40.4639269221633]]]]}",2014, ,LETSCHE ST,PITTSBURGH,PA, ,15214,25th Ward - PITTSBURGH,Pittsburgh,WARD 25,REGULAR-ETAL,RESIDENTIAL,SINGLE FAMILY,3240.0,,10-13-1978,1.0,3,LOVE&AFFECTION,,,,,64600.0,OLD STYLE,2,1945.0,Frame,SHINGLE,Full,C-,AVERAGE -,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat,0.0,0,1530.0,1.0,,2019.0
0046R00299000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0051754537358, 40.4638368070452], [-80.005283958503, 40.4638174703311], [-80.0053586365892, 40.4640578445275], [-80.0054134715393, 40.4642682695566], [-80.00539963427, 40.4642712757832], [-80.0053424150869, 40.4640517018305], [-80.0052922691432, 40.4639759018883], [-80.0052365078618, 40.4639041319336], [-80.0051754537358, 40.4638368070452]]]]}",0, ,BIGGS AVE,PITTSBURGH,PA, ,15214,25th Ward - PITTSBURGH,Pittsburgh,PITTSBURGH URBAN,CORPORATION,COMMERCIAL,VACANT COMMERCIAL LAND,1842.0,10-19-1927,10-19-1927,0.0,3,LOVE&AFFECTION,07-08-1927,,,,600.0,,,,,,,,,,,,,,,,,,,,,2019.0
0023C00246000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0034762719582, 40.4621204575323], [-80.0033274141922, 40.4616598069626], [-80.0038662731116, 40.461554063862], [-80.0040856203926, 40.4621741318784], [-80.0035303836198, 40.4622874016269], [-80.0034762719582, 40.4621204575323]]]]}",0, ,FINEVIEW AVE,PITTSBURGH,PA, ,15212,25th Ward - PITTSBURGH,Pittsburgh,WARD 25,CORPORATION,GOVERNMENT,OWNED BY BOARD OF EDUCATION,37674.0,01-27-2012,01-27-2012,1.0,3,LOVE&AFFECTION,05-04-1908,0.0,,,40900.0,,,,,,,,,,,,,,,,,,,,,2019.0
