PIN,geom,PROPERTYHOUSENUM__asmt,PROPERTYFRACTION__asmt,PROPERTYADDRESS__asmt,PROPERTYCITY__asmt,PROPERTYSTATE__asmt,PROPERTYUNIT__asmt,PROPERTYZIP__asmt,MUNIDESC__asmt,SCHOOLDESC__asmt,NEIGHDESC__asmt,OWNERDESC__asmt,CLASSDESC__asmt,USEDESC__asmt,LOTAREA__asmt,RECORDDATE__asmt,SALEDATE__asmt,SALEPRICE__asmt,SALECODE__asmt,SALEDESC__asmt,PREVSALEDATE__asmt,PREVSALEPRICE__asmt,PREVSALEDATE2__asmt,PREVSALEPRICE2__asmt,FAIRMARKETTOTAL__asmt,STYLEDESC__asmt,STORIES__asmt,YEARBLT__asmt,EXTFINISH_DESC__asmt,ROOFDESC__asmt,BASEMENTDESC__asmt,GRADE__asmt,GRADEDESC__asmt,CONDITIONDESC__asmt,CDUDESC__asmt,TOTALROOMS__asmt,BEDROOMS__asmt,FULLBATHS__asmt,HALFBATHS__asmt,HEATINGCOOLINGDESC__asmt,FIREPLACES__asmt,BSMTGARAGE__asmt,FINISHEDLIVINGAREA__asmt,CARDNUMBER__asmt,ALT_ID__asmt,TAXYEAR__asmt
0083N00004000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9304561575247, 40.464846061472], [-79.9304469587256, 40.4648615593909], [-79.9300561818089, 40.4647199171504], [-79.9300651274773, 40.464705071075], [-79.9301346761933, 40.4645905868014], [-79.9305252109134, 40.4647301911098], [-79.9304561575247, 40.464846061472]]]]}",201, ,N NEGLEY AVE,PITTSBURGH,PA, ,15206,11th Ward - PITTSBURGH,Pittsburgh,11103,REGULAR,RESIDENTIAL,SINGLE FAMILY,6000.0,,07-16-2001,52000.0,U,OTHER VALID,12-20-1983,48000.0,,,67300.0,MULTI-FAMILY,1,1935.0,Brick,SHINGLE,Full,C-,AVERAGE -,FAIR,FAIR,6.0,3.0,2.0,0.0,Central Heat,0.0,0,1485.0,1.0,,2019.0
0050G00352000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9379309216821, 40.4696204167721], [-79.9379506911012, 40.4695328837587], [-79.9382995843847, 40.4695776910993], [-79.9382836018483, 40.4696807127166], [-79.9379309216821, 40.4696204167721]]]]}",711, ,N ATLANTIC AVE,PITTSBURGH,PA, ,15224,10th Ward - PITTSBURGH,Pittsburgh,11003,REGULAR,RESIDENTIAL,SINGLE FAMILY,3570.0,,06-04-1981,1.0,3,LOVE&AFFECTION,,,,,68400.0,OLD STYLE,1,1958.0,Brick,SHINGLE,None,C-,AVERAGE -,AVERAGE,AVERAGE,5.0,3.0,1.0,0.0,Central Heat,0.0,0,900.0,1.0,,2019.0
0083A00271000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9315142968229, 40.4700781679002], [-79.9316883621988, 40.4697907594317], [-79.9317740509184, 40.4698000576635], [-79.9317670939285, 40.4698350165302], [-79.9315979530735, 40.4701079844661], [-79.9315142968229, 40.4700781679002]]]]}",5444, ,BLACK ST,PITTSBURGH,PA, ,15206,11th Ward - PITTSBURGH,Pittsburgh,11103,REGULAR-ETAL,RESIDENTIAL,SINGLE FAMILY,2936.0,07-15-2016,07-09-2016,81000.0,UR,OTHER VALID,07-28-2004,1.0,05-05-1950,0.0,74800.0,OLD STYLE,2.5,1900.0,Brick,SHINGLE,Full,C,AVERAGE,FAIR,FAIR,6.0,4.0,1.0,1.0,Central Heat,0.0,0,2171.0,1.0,,2019.0
0081R00125000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9387081485327, 40.4730165894971], [-79.9385707270408, 40.472611377636], [-79.9386455593611, 40.4725938631916], [-79.9387824756159, 40.4730148939034], [-79.9387213330215, 40.4730166145649], [-79.9387169251222, 40.4730167385923], [-79.9387081485327, 40.4730165894971]]]]}",5210, ,MOSSFIELD ST,PITTSBURGH,PA, ,15224,10th Ward - PITTSBURGH,Pittsburgh,11003,CORPORATION,COMMERCIAL,COMM AUX BUILDING,3801.0,,06-02-1976,0.0,3,LOVE&AFFECTION,,,,,6700.0,,,,,,,,,,,,,,,,,,,,,2019.0
0083A00288000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9325841172709, 40.4700288710928], [-79.9328017492917, 40.470101736626], [-79.9329984834901, 40.4701677002941], [-79.9329623271345, 40.4702308482113], [-79.9328018142364, 40.4701731262794], [-79.9325517274129, 40.4700833703278], [-79.9325841172709, 40.4700288710928]]]]}",556, ,N AIKEN AVE,PITTSBURGH,PA, ,15206,11th Ward - PITTSBURGH,Pittsburgh,11103,REGULAR,RESIDENTIAL,SINGLE FAMILY,2484.0,,08-12-1966,0.0,N,NOT APPLICABLE,,,,,57700.0,SEMI DETACHED,2,1943.0,Brick,SHINGLE,Full,C-,AVERAGE -,AVERAGE,AVERAGE,4.0,2.0,1.0,0.0,Central Heat,0.0,0,1120.0,1.0,,2019.0
0050G00022000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.939526540779, 40.4675524066603], [-79.9395989768356, 40.4672587934899], [-79.9396696160933, 40.4672689587412], [-79.9395971803333, 40.4675625719552], [-79.939526540779, 40.4675524066603]]]]}",0, ,ROSETTA ST,PITTSBURGH,PA, ,15224,10th Ward - PITTSBURGH,Pittsburgh,11003,CORPORATION,RESIDENTIAL,VACANT LAND,2200.0,11-27-2012,11-27-2012,21235.0,2,CITY TREASURER,11-29-1924,0.0,,,25200.0,,,,,,,,,,,,,,,,,,,,,2019.0
0050F00160000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9432565578791, 40.4684967236091], [-79.9433177910912, 40.468223976142], [-79.9434089826974, 40.4682365053669], [-79.9433473022034, 40.4685093262144], [-79.9432565578791, 40.4684967236091]]]]}",4923, ,ROSETTA ST,PITTSBURGH,PA, ,15224,10th Ward - PITTSBURGH,Pittsburgh,11003,CORPORATION,RESIDENTIAL,VACANT LAND,2500.0,11-27-2012,11-27-2012,14694.0,2,CITY TREASURER,05-10-1984,19000.0,,,8800.0,,,,,,,,,,,,,,,,,,,,,2019.0
0050K00308000300,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9448394063308, 40.4658554689088], [-79.9448498496011, 40.4658106679245], [-79.9450196392225, 40.4658337012121], [-79.9450101184981, 40.4658778231469], [-79.9448394063308, 40.4658554689088]]]]}",116, ,N MILLVALE AVE,PITTSBURGH,PA, ,15224,10th Ward - PITTSBURGH,Pittsburgh,11003,REGULAR,RESIDENTIAL,ROWHOUSE,942.0,11-05-2013,11-05-2013,86000.0,H,MULTI-PARCEL SA,11-04-1985,0.0,,,76500.0,ROW INTERIOR,3,1930.0,Brick,SHINGLE,Full,C-,AVERAGE -,FAIR,AVERAGE,6.0,4.0,1.0,0.0,Central Heat,0.0,0,1768.0,1.0,,2019.0
0050H00134000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9339133675866, 40.4679916149272], [-79.9335402119082, 40.4678569984843], [-79.9335748768395, 40.4678001928977], [-79.93394723373, 40.4679350650843], [-79.9339133675866, 40.4679916149272]]]]}",415, ,N GRAHAM ST,PITTSBURGH,PA, ,15206,11th Ward - PITTSBURGH,Pittsburgh,11103,CORPORATION,RESIDENTIAL,VACANT LAND,2420.0,10-27-2017,10-27-2017,52109.0,GV,GOVT SALE,09-13-1984,9000.0,,,10900.0,,,,,,,,,,,,,,,,,,,,,2019.0
0050M00210000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9332985092603, 40.4672747996688], [-79.933333155814, 40.4672206016902], [-79.9333698422766, 40.4672295182683], [-79.9336562993426, 40.4673324093684], [-79.9336255918199, 40.4673832615796], [-79.9332985092603, 40.4672747996688]]]]}",0, ,N GRAHAM ST,PITTSBURGH,PA, ,15206,11th Ward - PITTSBURGH,Pittsburgh,11103,REGULAR,RESIDENTIAL,VACANT LAND,2150.0,,05-13-1981,1.0,3,LOVE&AFFECTION,,,,,9700.0,,,,,,,,,,,,,,,,,,,,,2019.0
0050K00333000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9436000706368, 40.4651637589762], [-79.9435799414961, 40.465260885004], [-79.9435873754183, 40.4652616870711], [-79.9435793932439, 40.4653009729034], [-79.9435713269645, 40.4652997117242], [-79.9435445426847, 40.4654319531624], [-79.9434809488831, 40.4654229504713], [-79.9435372600432, 40.4651549178417], [-79.9436000706368, 40.4651637589762]]]]}",5011, ,PENN AVE,PITTSBURGH,PA, ,15224,10th Ward - PITTSBURGH,Pittsburgh,PITTSBURGH URBAN,CORPORATION,COMMERCIAL,RETL/APT'S OVER,1630.0,08-06-2018,08-06-2018,80000.0,35,CORP TRANSFER,07-13-2012,10000.0,07-13-2012,5000.0,27500.0,,,,,,,,,,,,,,,,,,,,,2019.0
0050L00144000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9377961446326, 40.4661673860234], [-79.9378595591776, 40.4658918535746], [-79.9379299843028, 40.4659015974643], [-79.9378593467927, 40.4661762346571], [-79.9377961446326, 40.4661673860234]]]]}",5307, ,BROAD ST,PITTSBURGH,PA, ,15224,10th Ward - PITTSBURGH,Pittsburgh,11003,REGULAR,RESIDENTIAL,SINGLE FAMILY,2000.0,,09-07-1977,13900.0,0,VALID SALE,,,,,63800.0,OLD STYLE,2,1920.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,FAIR,FAIR,6.0,3.0,1.0,1.0,Central Heat,0.0,0,1924.0,1.0,,2019.0
0050K00093000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9437101979438, 40.4669898826218], [-79.9437684520217, 40.4667222692405], [-79.9438424970936, 40.4667327856006], [-79.9437824296217, 40.466999925598], [-79.9437101979438, 40.4669898826218]]]]}",4929, ,BROAD ST,PITTSBURGH,PA, ,15224,10th Ward - PITTSBURGH,Pittsburgh,11003,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,2000.0,,11-29-1985,0.0,3,LOVE&AFFECTION,,,,,51500.0,OLD STYLE,2,1910.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,FAIR,FAIR,7.0,3.0,1.0,0.0,Central Heat,0.0,0,1244.0,1.0,,2019.0
0083E00032000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.932679894951, 40.4695444847801], [-79.9320362751938, 40.4694177198587], [-79.9320573563116, 40.4693053377583], [-79.9328018574594, 40.4694247980276], [-79.9328479378233, 40.4694321662666], [-79.9328124924983, 40.4694895585485], [-79.9328018162428, 40.4695068288625], [-79.9327655077395, 40.4695652712346], [-79.932679894951, 40.4695444847801]]]]}",0, ,N FAIRMOUNT ST,PITTSBURGH,PA, ,15206,11th Ward - PITTSBURGH,Pittsburgh,11103,CORPORATION,GOVERNMENT,MUNICIPAL GOVERNMENT,9861.0,,09-18-1989,4011.0,2,CITY TREASURER,,,,,3700.0,,,,,,,,,,,,,,,,,,,,,2019.0
0050J00029000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9458164680401, 40.4668150476806], [-79.9458263967012, 40.4667748600257], [-79.9460312438105, 40.4668000789434], [-79.9460205125703, 40.4668431824367], [-79.9458164680401, 40.4668150476806]]]]}",218, ,N MATHILDA ST,PITTSBURGH,PA, ,15224,10th Ward - PITTSBURGH,Pittsburgh,11003,REGULAR-ETUX OR ET VIR,RESIDENTIAL,VACANT LAND,1024.0,02-08-2017,02-07-2017,60000.0,H,MULTI-PARCEL SA,06-10-2016,1.0,12-07-1977,150.0,3600.0,,,,,,,,,,,,,,,,,,,,,2019.0
0050G00343000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9384837533758, 40.4695750569283], [-79.9384768325448, 40.4695282517608], [-79.9384644561077, 40.4694825850837], [-79.938891937718, 40.4695367090003], [-79.9388705486502, 40.4696255760091], [-79.9384837533758, 40.4695750569283]]]]}",704, ,N PACIFIC AVE,PITTSBURGH,PA, ,15224,10th Ward - PITTSBURGH,Pittsburgh,11003,REGULAR,RESIDENTIAL,SINGLE FAMILY,4595.0,,08-31-1995,0.0,3,LOVE&AFFECTION,,,,,71600.0,RANCH,1,1950.0,Brick,SHINGLE,None,C-,AVERAGE -,AVERAGE,AVERAGE,5.0,3.0,1.0,0.0,Central Heat,0.0,0,900.0,1.0,,2019.0
0050J00073000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9455112037267, 40.4657069747386], [-79.9455801482484, 40.4654367562975], [-79.945646064366, 40.4654461458477], [-79.9455816367067, 40.4657169636747], [-79.9455112037267, 40.4657069747386]]]]}",0, ,PENN AVE,PITTSBURGH,PA, ,15224,10th Ward - PITTSBURGH,Pittsburgh,PITTSBURGH URBAN,CORPORATION,COMMERCIAL,COMM AUX BUILDING,2400.0,06-10-2004,06-10-2004,220000.0,H,MULTI-PARCEL SA,07-31-1991,175000.0,,,20900.0,,,,,,,,,,,,,,,,,,,,,2019.0
0050H00058000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9341643079048, 40.4674074068259], [-79.9338764895874, 40.4673041314231], [-79.933913566372, 40.4672417429246], [-79.9342021200302, 40.4673400134844], [-79.9341643079048, 40.4674074068259]]]]}",313, ,N GRAHAM ST,PITTSBURGH,PA, ,15206,11th Ward - PITTSBURGH,Pittsburgh,11103,CORPORATION,GOVERNMENT,MUNICIPAL URBAN RENEWAL,2070.0,,09-10-1992,0.0,3,LOVE&AFFECTION,,,,,31800.0,,,,,,,,,,,,,,,,,,,,,2019.0
0050L00350000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9371204241825, 40.4668608981588], [-79.9371343109409, 40.4667994646482], [-79.937066751629, 40.4667895291085], [-79.9370845021311, 40.4667002909764], [-79.9371155634725, 40.466704715958], [-79.9371277546839, 40.4667064527283], [-79.9371936684898, 40.4667157555478], [-79.9372275298131, 40.466720606343], [-79.9372627486602, 40.4667256146278], [-79.9373092491725, 40.4667322852703], [-79.9373316458693, 40.4667354331463], [-79.9372939691475, 40.4668848484192], [-79.9372745668582, 40.4668821553447], [-79.9371924058432, 40.4668708493002], [-79.9371204241825, 40.4668608981588]]]]}",0, ,BROWN WAY,PITTSBURGH,PA, ,15224,10th Ward - PITTSBURGH,Pittsburgh,11003,CORPORATION,RESIDENTIAL,VACANT LAND,3442.0,,02-27-1985,3000.0,9,OTHER INVALID,,,,,29600.0,,,,,,,,,,,,,,,,,,,,,2019.0
0050H00295000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9364166058584, 40.468273184678], [-79.9364546157346, 40.4682106987981], [-79.9365393359216, 40.4682410661651], [-79.9367259511089, 40.4683079557626], [-79.9366910654374, 40.4683661567127], [-79.9364166058584, 40.468273184678]]]]}",0, ,FANNEL ST,PITTSBURGH,PA, ,15224,10th Ward - PITTSBURGH,Pittsburgh,11003,CORPORATION,RESIDENTIAL,VACANT LAND,1681.0,08-17-2018,08-17-2018,34523.0,GV,GOVT SALE,09-16-2010,800.0,12-05-2007,2716.0,700.0,,,,,,,,,,,,,,,,,,,,,2019.0
