PIN,geom,PROPERTYHOUSENUM__asmt,PROPERTYFRACTION__asmt,PROPERTYADDRESS__asmt,PROPERTYCITY__asmt,PROPERTYSTATE__asmt,PROPERTYUNIT__asmt,PROPERTYZIP__asmt,MUNIDESC__asmt,SCHOOLDESC__asmt,NEIGHDESC__asmt,OWNERDESC__asmt,CLASSDESC__asmt,USEDESC__asmt,LOTAREA__asmt,RECORDDATE__asmt,SALEDATE__asmt,SALEPRICE__asmt,SALECODE__asmt,SALEDESC__asmt,PREVSALEDATE__asmt,PREVSALEPRICE__asmt,PREVSALEDATE2__asmt,PREVSALEPRICE2__asmt,FAIRMARKETTOTAL__asmt,STYLEDESC__asmt,STORIES__asmt,YEARBLT__asmt,EXTFINISH_DESC__asmt,ROOFDESC__asmt,BASEMENTDESC__asmt,GRADE__asmt,GRADEDESC__asmt,CONDITIONDESC__asmt,CDUDESC__asmt,TOTALROOMS__asmt,BEDROOMS__asmt,FULLBATHS__asmt,HALFBATHS__asmt,HEATINGCOOLINGDESC__asmt,FIREPLACES__asmt,BSMTGARAGE__asmt,FINISHEDLIVINGAREA__asmt,CARDNUMBER__asmt,ALT_ID__asmt,TAXYEAR__asmt
0049P00252000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9597036515178, 40.4634260309134], [-79.9600543593597, 40.4633707558402], [-79.9600678316659, 40.4634232925013], [-79.9597199385083, 40.4634800975204], [-79.9597036515178, 40.4634260309134]]]]}",334, ,39TH ST,PITTSBURGH,PA, ,15201,6th Ward - PITTSBURGH,Pittsburgh,10601,CORPORATION,RESIDENTIAL,ROWHOUSE,2000.0,03-16-2006,03-16-2006,55000.0,0,VALID SALE,10-20-2003,12000.0,10-01-2003,0.0,73200.0,ROW INTERIOR,2,1900.0,Brick,SHINGLE,Full,C-,AVERAGE -,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat,0.0,0,1776.0,1.0,,2019.0
0049P00249000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9593890119245, 40.4634789558962], [-79.9595279153198, 40.4634566360188], [-79.9595411871447, 40.4635048188847], [-79.9594028783335, 40.4635270430742], [-79.9593890119245, 40.4634789558962]]]]}",333, ,39TH ST,PITTSBURGH,PA, ,15201,6th Ward - PITTSBURGH,Pittsburgh,10601,CORPORATION,RESIDENTIAL,ROWHOUSE,800.0,04-17-2013,04-17-2013,82000.0,0,VALID SALE,09-09-1988,15000.0,,,71200.0,ROW END,3,1900.0,Brick,SHINGLE,Full,D+,BELOW AVERAGE +,AVERAGE,AVERAGE,5.0,2.0,1.0,0.0,Central Heat,0.0,0,1890.0,1.0,,2019.0
0026A00097000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9625709027428, 40.4615814456091], [-79.9626239040506, 40.4615752135024], [-79.9626876508237, 40.4618682777438], [-79.9626285454195, 40.4618738037395], [-79.9625709027428, 40.4615814456091]]]]}",3632, ,LIBERTY AVE,PITTSBURGH,PA, ,15201,6th Ward - PITTSBURGH,Pittsburgh,10601,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,1839.0,,12-17-1990,22000.0,0,VALID SALE,,,,,34200.0,OLD STYLE,2,1930.0,Brick,ROLL,Full,D,BELOW AVERAGE,POOR,POOR,5.0,2.0,1.0,0.0,Central Heat,0.0,0,1288.0,1.0,,2019.0
0049P00216000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.958156566344, 40.4641196315441], [-79.9580768284427, 40.4638482852451], [-79.958145250498, 40.4638372318338], [-79.9582280034888, 40.4641082216863], [-79.958156566344, 40.4641196315441]]]]}",3942, ,MINTWOOD ST,PITTSBURGH,PA, ,15224,6th Ward - PITTSBURGH,Pittsburgh,10601,CORPORATION,RESIDENTIAL,SINGLE FAMILY,2020.0,12-18-2006,12-18-2006,37500.0,0,VALID SALE,09-01-1989,35000.0,,,77200.0,OLD STYLE,2,1900.0,Frame,SHINGLE,Full,C-,AVERAGE -,FAIR,FAIR,6.0,3.0,1.0,1.0,Central Heat with AC,1.0,0,1816.0,1.0,,2019.0
0049N00224000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9639217579623, 40.4635442616311], [-79.9639923762139, 40.4634860916882], [-79.9640826365904, 40.4635616142142], [-79.9641807823684, 40.4636437784657], [-79.9641173531309, 40.4636873500494], [-79.9640131913977, 40.463596258672], [-79.9639959223342, 40.4635995652763], [-79.9639217579623, 40.4635442616311]]]]}",3487, ,DENNY ST,PITTSBURGH,PA, ,15201,6th Ward - PITTSBURGH,Pittsburgh,10601,CORPORATION,RESIDENTIAL,ROWHOUSE,1920.0,09-09-2015,08-25-2015,1.0,H,MULTI-PARCEL SA,07-29-1997,25000.0,,,68200.0,ROW INTERIOR,2,1890.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,AVERAGE,AVERAGE,4.0,2.0,1.0,0.0,Central Heat,0.0,0,1920.0,1.0,,2019.0
0049N00187000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9651987331378, 40.4627175747326], [-79.9652521836021, 40.4626775373384], [-79.9654089953961, 40.4628000859934], [-79.9653455647046, 40.4628436560485], [-79.9651987331378, 40.4627175747326]]]]}",3440, ,LIGONIER ST,PITTSBURGH,PA, ,15201,6th Ward - PITTSBURGH,Pittsburgh,10601,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,1260.0,,07-11-2002,10000.0,9,OTHER INVALID,03-06-2002,4122.0,06-26-2000,50000.0,31500.0,OLD STYLE,2,1880.0,Brick,SHINGLE,Full,D+,BELOW AVERAGE +,FAIR,FAIR,6.0,3.0,2.0,0.0,Central Heat,0.0,0,1778.0,1.0,,2019.0
0049P00038000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9602303390432, 40.4643240358372], [-79.9603123052748, 40.4643111202216], [-79.9603616379881, 40.4644899865355], [-79.9604116483523, 40.4646712620884], [-79.9603221206798, 40.4646864040357], [-79.9602681521681, 40.4645042650767], [-79.960285322822, 40.4644943032199], [-79.9602303390432, 40.4643240358372]]]]}",3828, ,PENN AVE,PITTSBURGH,PA, ,15201,6th Ward - PITTSBURGH,Pittsburgh,10601,CORPORATION,RESIDENTIAL,TWO FAMILY,2990.0,,07-16-1973,0.0,3,LOVE&AFFECTION,,,,,71100.0,OLD STYLE,3,1900.0,Brick,ROLL,Full,C-,AVERAGE -,FAIR,FAIR,11.0,4.0,2.0,0.0,Central Heat,,,3668.0,2.0,,2019.0
0049J00123001A00,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9655312594284, 40.4653142668421], [-79.9655778352372, 40.4653321611511], [-79.9656159474964, 40.4653468532053], [-79.9656491422185, 40.4653596258165], [-79.9656857358093, 40.4653736831342], [-79.9657250908477, 40.465388831969], [-79.9657614115395, 40.465402803808], [-79.9657495485457, 40.4654192231629], [-79.9657420988947, 40.4654295341121], [-79.9657368172911, 40.4654368439701], [-79.9657321245731, 40.4654433395168], [-79.9655004587906, 40.4653570523994], [-79.9655089809486, 40.4653452146181], [-79.9655156067657, 40.4653360108784], [-79.9655222388095, 40.4653267979503], [-79.9655312594284, 40.4653142668421]]]]}",196, ,36TH ST,PITTSBURGH,PA,UNIT 1-A,15201,6th Ward - PITTSBURGH,Pittsburgh,PITTSBURGH URBAN,REGULAR,COMMERCIAL,CONDOMINIUM OFFICE BUILDING,0.0,03-27-2006,03-27-2006,340480.0,0,VALID SALE,,,,,320800.0,,,,,,,,,,,,,,,,,,,,,2019.0
0026C00304000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9548881906205, 40.4614345954494], [-79.9551976834532, 40.4615830089013], [-79.954969634815, 40.4618576180081], [-79.9544153825622, 40.4622781885292], [-79.9542303967036, 40.4621849017985], [-79.9546199254544, 40.4617170643842], [-79.9546268481445, 40.461709771358], [-79.9548881906205, 40.4614345954494]]]]}",0, ,CAYUGA ST,PITTSBURGH,PA, ,15224,8th Ward - PITTSBURGH,Pittsburgh,PITTSBURGH URBAN,CORPORATION,GOVERNMENT,MUNICIPAL GOVERNMENT,30260.0,,09-23-1922,0.0,3,LOVE&AFFECTION,,,,,535500.0,,,,,,,,,,,,,,,,,,,,,2019.0
0049P00235000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9585562395336, 40.4634415078706], [-79.9586245689301, 40.4634304314507], [-79.9586980856901, 40.4636946869956], [-79.9586310690981, 40.4637057599091], [-79.9585562395336, 40.4634415078706]]]]}",3925, ,HOWLEY ST,PITTSBURGH,PA, ,15224,6th Ward - PITTSBURGH,Pittsburgh,10601,REGULAR,RESIDENTIAL,SINGLE FAMILY,1940.0,05-18-2004,05-18-2004,10.0,3,LOVE&AFFECTION,05-29-1990,38250.0,,,75800.0,OLD STYLE,2,1900.0,Frame,SHINGLE,Full,C-,AVERAGE -,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat,0.0,0,1600.0,1.0,,2019.0
