PIN,geom,PROPERTYHOUSENUM__asmt,PROPERTYFRACTION__asmt,PROPERTYADDRESS__asmt,PROPERTYCITY__asmt,PROPERTYSTATE__asmt,PROPERTYUNIT__asmt,PROPERTYZIP__asmt,MUNIDESC__asmt,SCHOOLDESC__asmt,NEIGHDESC__asmt,OWNERDESC__asmt,CLASSDESC__asmt,USEDESC__asmt,LOTAREA__asmt,RECORDDATE__asmt,SALEDATE__asmt,SALEPRICE__asmt,SALECODE__asmt,SALEDESC__asmt,PREVSALEDATE__asmt,PREVSALEPRICE__asmt,PREVSALEDATE2__asmt,PREVSALEPRICE2__asmt,FAIRMARKETTOTAL__asmt,STYLEDESC__asmt,STORIES__asmt,YEARBLT__asmt,EXTFINISH_DESC__asmt,ROOFDESC__asmt,BASEMENTDESC__asmt,GRADE__asmt,GRADEDESC__asmt,CONDITIONDESC__asmt,CDUDESC__asmt,TOTALROOMS__asmt,BEDROOMS__asmt,FULLBATHS__asmt,HALFBATHS__asmt,HEATINGCOOLINGDESC__asmt,FIREPLACES__asmt,BSMTGARAGE__asmt,FINISHEDLIVINGAREA__asmt,CARDNUMBER__asmt,ALT_ID__asmt,TAXYEAR__asmt
0010N00255000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9802362353485, 40.4438336465476], [-79.9803331126008, 40.4437520887182], [-79.9805560738082, 40.4440523670603], [-79.9805565554156, 40.4440523577646], [-79.9805142177411, 40.4440709944089], [-79.9804747779836, 40.4440874748024], [-79.9804351906115, 40.4441039607516], [-79.9802362353485, 40.4438336465476]]]]}",0, ,CENTRE AVE,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,CORPORATION,GOVERNMENT,MUNICIPAL URBAN RENEWAL,3100.0,,07-01-1971,0.0,3,LOVE&AFFECTION,,,,,1100.0,,,,,,,,,,,,,,,,,,,,,2019.0
0010H00138000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9675185071703, 40.4480339816247], [-79.9678842347751, 40.4479205850627], [-79.9679348536762, 40.4480034998142], [-79.9675711213521, 40.4481210914776], [-79.9675185071703, 40.4480339816247]]]]}",526, ,FRANCIS ST,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,REGULAR,RESIDENTIAL,SINGLE FAMILY,4200.0,08-15-2017,07-27-2017,1.0,3,LOVE&AFFECTION,04-24-1989,28000.0,,,54600.0,OLD STYLE,2,1920.0,Masonry FRAME,SHINGLE,Full,C-,AVERAGE -,FAIR,FAIR,7.0,2.0,2.0,0.0,Central Heat,0.0,0,1878.0,1.0,,2019.0
0010H00242000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9669482158501, 40.4488512235415], [-79.9669014072655, 40.4487748236477], [-79.9672405103981, 40.448646724145], [-79.967306602801, 40.4487540089601], [-79.9669686284917, 40.4488844665998], [-79.9669482158501, 40.4488512235415]]]]}",536, ,MORGAN ST,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,REGULAR,RESIDENTIAL,SINGLE FAMILY,4509.0,04-20-2010,04-20-2010,12500.0,H,MULTI-PARCEL SA,12-27-1993,23000.0,,,25300.0,OLD STYLE,1,1920.0,Brick,SHINGLE,Full,C-,AVERAGE -,AVERAGE,FAIR,6.0,3.0,1.0,0.0,Central Heat with AC,0.0,0,1080.0,1.0,,2019.0
0010L00328000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9705618362778, 40.4475494609284], [-79.9706408144515, 40.4475201897739], [-79.9707604072051, 40.4477065302966], [-79.9706772372026, 40.4477421770671], [-79.9705618362778, 40.4475494609284]]]]}",2516, ,MAHON ST,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,CORPORATION,GOVERNMENT,MUNICIPAL GOVERNMENT,1909.0,,04-01-1985,0.0,3,LOVE&AFFECTION,,,,,700.0,,,,,,,,,,,,,,,,,,,,,2019.0
0010F00015000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9752647960616, 40.4482586664588], [-79.975146616937, 40.4483044872329], [-79.975065511661, 40.4481483912488], [-79.9751711025052, 40.4481042085872], [-79.9752647960616, 40.4482586664588]]]]}",641, ,SOMERS ST,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,REGULAR,RESIDENTIAL,VACANT LAND,2480.0,,10-25-2000,5000.0,1,SHERIFF SALE,09-18-1989,2613.0,,,15000.0,,,,,,,,,,,,,,,,,,,,,2019.0
0010H00278000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.96680277647, 40.4493681280542], [-79.9671243010716, 40.4492547807133], [-79.9671601287129, 40.4493141367625], [-79.9668392669913, 40.4494267836279], [-79.96680277647, 40.4493681280542]]]]}",12, ,HORTON ST,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,CORPORATION,GOVERNMENT,MUNICIPAL URBAN RENEWAL,2424.0,,07-25-1972,0.0,3,LOVE&AFFECTION,,,,,900.0,,,,,,,,,,,,,,,,,,,,,2019.0
0010R00162000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9742910225424, 40.4456009051914], [-79.9743213642003, 40.4452776129066], [-79.9744737302571, 40.4452850687988], [-79.9744429223117, 40.4456078414101], [-79.9742910225424, 40.4456009051914]]]]}",2241, ,CENTRE AVE,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,CORPORATION,GOVERNMENT,MUNICIPAL URBAN RENEWAL,5760.0,08-23-2004,08-23-2004,1.0,H,MULTI-PARCEL SA,05-05-1950,0.0,,,20100.0,,,,,,,,,,,,,,,,,,,,,2019.0
0010J00063000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9796699696617, 40.4458695450438], [-79.9798422989937, 40.4457986041895], [-79.9798770999375, 40.4458450135768], [-79.9797082090768, 40.445920063806], [-79.9796886399284, 40.4459287713807], [-79.9796517989191, 40.4458770344642], [-79.9796699696617, 40.4458695450438]]]]}",136, ,ERIN ST,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,CORPORATION,GOVERNMENT,OWNED BY METRO HOUSING AU,1320.0,,08-10-2001,1.0,3,LOVE&AFFECTION,03-14-1997,9626.0,,,500.0,,,,,,,,,,,,,,,,,,,,,2019.0
0010F00138000A00,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9763147966289, 40.4485690938778], [-79.9763729094056, 40.448542919553], [-79.9765050794737, 40.4487197226807], [-79.976471731199, 40.4487338882983], [-79.9764423999676, 40.4487463287465], [-79.9763147966289, 40.4485690938778]]]]}",0, ,BLOOMER WAY,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,CORPORATION,RESIDENTIAL,VACANT LAND,1340.0,04-29-2010,04-29-2010,9770.0,2,CITY TREASURER,03-06-1986,1.0,,,12700.0,,,,,,,,,,,,,,,,,,,,,2019.0
0010G00328000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.973173311015, 40.4498000578169], [-79.9731472713492, 40.4497524844951], [-79.9734659794876, 40.4496501329809], [-79.973490982827, 40.4496998790677], [-79.973173311015, 40.4498000578169]]]]}",0, ,DUFF ST,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,REGULAR,RESIDENTIAL,VACANT LAND,1940.0,,08-21-1961,0.0,N,NOT APPLICABLE,,,,,13900.0,,,,,,,,,,,,,,,,,,,,,2019.0
