PIN,geom,PROPERTYHOUSENUM__asmt,PROPERTYFRACTION__asmt,PROPERTYADDRESS__asmt,PROPERTYCITY__asmt,PROPERTYSTATE__asmt,PROPERTYUNIT__asmt,PROPERTYZIP__asmt,MUNIDESC__asmt,SCHOOLDESC__asmt,NEIGHDESC__asmt,OWNERDESC__asmt,CLASSDESC__asmt,USEDESC__asmt,LOTAREA__asmt,RECORDDATE__asmt,SALEDATE__asmt,SALEPRICE__asmt,SALECODE__asmt,SALEDESC__asmt,PREVSALEDATE__asmt,PREVSALEPRICE__asmt,PREVSALEDATE2__asmt,PREVSALEPRICE2__asmt,FAIRMARKETTOTAL__asmt,STYLEDESC__asmt,STORIES__asmt,YEARBLT__asmt,EXTFINISH_DESC__asmt,ROOFDESC__asmt,BASEMENTDESC__asmt,GRADE__asmt,GRADEDESC__asmt,CONDITIONDESC__asmt,CDUDESC__asmt,TOTALROOMS__asmt,BEDROOMS__asmt,FULLBATHS__asmt,HALFBATHS__asmt,HEATINGCOOLINGDESC__asmt,FIREPLACES__asmt,BSMTGARAGE__asmt,FINISHEDLIVINGAREA__asmt,CARDNUMBER__asmt,ALT_ID__asmt,TAXYEAR__asmt
0118M00005000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9701048367972, 40.4855843497192], [-79.9700617487194, 40.4853142764716], [-79.9701517607515, 40.4853311738164], [-79.9701926620578, 40.4855894368509], [-79.9702066235977, 40.4856457326553], [-79.9701205929489, 40.4856532880355], [-79.9701048367972, 40.4855843497192]]]]}",6, ,PARK ST,PITTSBURGH,PA, ,15209,Millvale  ,Shaler Area,83802,REGULAR,RESIDENTIAL,SINGLE FAMILY,2992.0,09-11-2003,09-11-2003,40000.0,U,OTHER VALID,08-04-1969,0.0,,,21600.0,OLD STYLE,3,1900.0,Frame,SHINGLE,Full,D,BELOW AVERAGE,FAIR,VERY POOR,7.0,2.0,1.0,0.0,Central Heat,0.0,0,1980.0,1.0,,2019.0
0079D00007000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9698427445064, 40.4795643140234], [-79.9698749349459, 40.479530837367], [-79.970011013408, 40.4796092271491], [-79.9699788300671, 40.4796410790707], [-79.9698427445064, 40.4795643140234]]]]}",204, ,SHERIDAN ST,PITTSBURGH,PA, ,15209,Millvale  ,Shaler Area,83802,REGULAR-ETUX OR ET VIR,RESIDENTIAL,ROWHOUSE,670.0,,03-17-1980,6550.0,0,VALID SALE,,,,,16900.0,ROW INTERIOR,2,1900.0,Frame,SHINGLE,Full,D,BELOW AVERAGE,FAIR,FAIR,4.0,2.0,1.0,0.0,Central Heat,0.0,0,784.0,1.0,,2019.0
0079C00060000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9738074123487, 40.4797869253601], [-79.9738595345669, 40.4797318518739], [-79.9742367742219, 40.4799398016344], [-79.9741841463275, 40.479993168334], [-79.9738074123487, 40.4797869253601]]]]}",26, ,SEDGWICK ST,PITTSBURGH,PA, ,15209,Millvale  ,Shaler Area,83802,REGULAR,RESIDENTIAL,SINGLE FAMILY,3120.0,10-19-2011,10-19-2011,1.0,3,LOVE&AFFECTION,10-06-1967,0.0,,,43500.0,OLD STYLE,2,1877.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat with AC,0.0,0,1176.0,1.0,,2019.0
0165R00103000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9740380716601, 40.4922704999553], [-79.9741749208176, 40.4921396602794], [-79.9743024089622, 40.4922156478477], [-79.9743102426394, 40.4922214239451], [-79.9741756137169, 40.4923514203261], [-79.9740380716601, 40.4922704999553]]]]}",1122, ,NORTH AVE,PITTSBURGH,PA, ,15209,Millvale  ,Shaler Area,83801,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,2880.0,02-25-2003,02-25-2003,1.0,3,LOVE&AFFECTION,12-23-1988,22000.0,,,63100.0,OLD STYLE,2,1906.0,Frame,SHINGLE,Full,C,AVERAGE,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat with AC,0.0,0,1386.0,1.0,,2019.0
0079C00152000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9733775882355, 40.4801233880369], [-79.9730683653211, 40.4804523835128], [-79.9726899678963, 40.4802450067744], [-79.9729972319088, 40.4799172116624], [-79.9733775882355, 40.4801233880369]]]]}",400, ,GRANT AVE,PITTSBURGH,PA, ,15209,Millvale  ,Shaler Area,RIVER/INDUSTRIAL/MILL,CORPORATION,COMMERCIAL,BANK,27300.0,,04-01-1941,0.0,3,LOVE&AFFECTION,,,,,483000.0,,,,,,,,,,,,,,,,,,,,,2019.0
0118L00078000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9733748568235, 40.4866793308189], [-79.9733769929412, 40.486580530652], [-79.9741403792833, 40.486569191395], [-79.9741458539601, 40.4866669982096], [-79.9733748568235, 40.4866793308189]]]]}",639, ,NORTH AVE,PITTSBURGH,PA, ,15209,Millvale  ,Shaler Area,83802,REGULAR,RESIDENTIAL,SINGLE FAMILY,7729.0,01-31-2019,01-28-2019,45000.0,14,TIME ON MARKET,08-12-2015,48000.0,01-27-2015,2143.0,80300.0,OLD STYLE,2,1929.0,Brick,SHINGLE,Full,C,AVERAGE,AVERAGE,AVERAGE,7.0,3.0,1.0,0.0,Central Heat,0.0,0,1458.0,1.0,,2019.0
0118C00147000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9731284223623, 40.4897573538183], [-79.9731026798142, 40.4898219408292], [-79.9727277903075, 40.4897413718016], [-79.9727498536441, 40.4896742696928], [-79.9731284223623, 40.4897573538183]]]]}",911, ,NORTH AVE,PITTSBURGH,PA, ,15209,Millvale  ,Shaler Area,83801,REGULAR-ETAL,RESIDENTIAL,SINGLE FAMILY,2640.0,03-05-2019,03-01-2019,1.0,3,LOVE&AFFECTION,08-13-1962,0.0,,,29500.0,OLD STYLE,2,1902.0,Frame,ROLL,Full,D,BELOW AVERAGE,FAIR,FAIR,3.0,1.0,0.0,1.0,Other,0.0,0,1098.0,1.0,,2019.0
0165L00092000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9718153995215, 40.4951402617846], [-79.9722153526992, 40.4951341119996], [-79.9720388138925, 40.4954144061303], [-79.9719361246894, 40.4954123267491], [-79.9719269880226, 40.4954130007039], [-79.9719178575358, 40.495412247639], [-79.9719089547577, 40.4954100858256], [-79.971900495692, 40.4954065677148], [-79.971892685577, 40.4954017786649], [-79.9718857139057, 40.4953958348702], [-79.9718797498285, 40.4953888805422], [-79.9718749380488, 40.4953810844103], [-79.9718153995215, 40.4951402617846]]]]}",5, ,TERRACE DR,PITTSBURGH,PA, ,15209,Millvale  ,Shaler Area,83801,REGULAR-ETAL,RESIDENTIAL,SINGLE FAMILY,8654.0,10-18-2017,10-04-2017,1.0,3,LOVE&AFFECTION,01-11-1973,0.0,,,82500.0,CAPE COD,1.5,1956.0,Brick,SHINGLE,Full,C,AVERAGE,AVERAGE,AVERAGE,5.0,2.0,1.0,0.0,Central Heat,1.0,0,1370.0,1.0,,2019.0
0079G00062000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9714506933742, 40.4788988906148], [-79.9718462930569, 40.4784913338854], [-79.9720135188806, 40.4785328321167], [-79.9715880107989, 40.4789739370148], [-79.9714506933742, 40.4788988906148]]]]}",213, ,GRANT AVE,PITTSBURGH,PA, ,15209,Millvale  ,Shaler Area,RIVER/INDUSTRIAL/MILL,CORPORATION,COMMERCIAL,RETL/APT'S OVER,9400.0,08-13-2009,08-13-2009,58000.0,H,MULTI-PARCEL SA,04-30-1979,23900.0,,,40000.0,,,,,,,,,,,,,,,,,,,,,2019.0
0165R00025000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.971090448608, 40.4934917275995], [-79.9714670845002, 40.4944892154755], [-79.9709184648152, 40.4945361433691], [-79.9706322846996, 40.4934768428148], [-79.971090448608, 40.4934917275995]]]]}",135, ,HAWTHORNE RD,PITTSBURGH,PA, ,15209,Millvale  ,Shaler Area,83801,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,54624.0,,09-18-1972,0.0,N,NOT APPLICABLE,,,,,145700.0,OLD STYLE,2,1927.0,Brick,SHINGLE,Full,C,AVERAGE,GOOD,GOOD,8.0,4.0,1.0,1.0,Central Heat,0.0,0,2430.0,1.0,,2019.0
