PIN,geom,PROPERTYHOUSENUM__asmt,PROPERTYFRACTION__asmt,PROPERTYADDRESS__asmt,PROPERTYCITY__asmt,PROPERTYSTATE__asmt,PROPERTYUNIT__asmt,PROPERTYZIP__asmt,MUNIDESC__asmt,SCHOOLDESC__asmt,NEIGHDESC__asmt,OWNERDESC__asmt,CLASSDESC__asmt,USEDESC__asmt,LOTAREA__asmt,RECORDDATE__asmt,SALEDATE__asmt,SALEPRICE__asmt,SALECODE__asmt,SALEDESC__asmt,PREVSALEDATE__asmt,PREVSALEPRICE__asmt,PREVSALEDATE2__asmt,PREVSALEPRICE2__asmt,FAIRMARKETTOTAL__asmt,STYLEDESC__asmt,STORIES__asmt,YEARBLT__asmt,EXTFINISH_DESC__asmt,ROOFDESC__asmt,BASEMENTDESC__asmt,GRADE__asmt,GRADEDESC__asmt,CONDITIONDESC__asmt,CDUDESC__asmt,TOTALROOMS__asmt,BEDROOMS__asmt,FULLBATHS__asmt,HALFBATHS__asmt,HEATINGCOOLINGDESC__asmt,FIREPLACES__asmt,BSMTGARAGE__asmt,FINISHEDLIVINGAREA__asmt,CARDNUMBER__asmt,ALT_ID__asmt,TAXYEAR__asmt
0027D00124000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9524211203098, 40.4523459805654], [-79.9523435708356, 40.4522239392187], [-79.9528382079099, 40.4520785490429], [-79.9529184452837, 40.4522039926135], [-79.9524211203098, 40.4523459805654]]]]}",315, ,N CRAIG ST,PITTSBURGH,PA, ,15213,5th Ward - PITTSBURGH,Pittsburgh,PITTSBURGH URBAN,REGULAR,COMMERCIAL,"RESTAURANT, CAFET AND/OR BAR",7500.0,07-05-2012,07-05-2012,370000.0,AA,SALE NOT ANALYZ,08-22-1986,1.0,,,370000.0,,,,,,,,,,,,,,,,,,,,,2019.0
0027H00160002200,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9509192685918, 40.448313597336], [-79.9509378876533, 40.4483433082892], [-79.950889274766, 40.4483610884669], [-79.9508706557211, 40.448331377506], [-79.9509192685918, 40.448313597336]]]]}",144, ,N DITHRIDGE ST,PITTSBURGH,PA,UNIT 714,15213,4th Ward - PITTSBURGH,Pittsburgh,DITHRIDGE TOWERS,REGULAR-ETAL,RESIDENTIAL,CONDOMINIUM,0.0,01-11-2019,01-10-2019,199000.0,36,QUIT CLAIM / SPEC WARRNTY,06-26-2017,187000.0,08-01-2013,1.0,125400.0,CONDO HR,1,1940.0,Brick,ROLL,None,C+,AVERAGE +,AVERAGE,AVERAGE,4.0,2.0,2.0,0.0,Central Heat,0.0,0,1456.0,1.0,,2019.0
0027L00150000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9558889024291, 40.4471974427251], [-79.9561929870895, 40.4469763411213], [-79.9563143044018, 40.4470747732129], [-79.9560143553431, 40.4472987253482], [-79.9558889024291, 40.4471974427251]]]]}",226, ,LYTTON AVE,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,10401,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,6000.0,,06-03-1986,105000.0,0,VALID SALE,,,,,205000.0,COLONIAL,2,1930.0,Brick,SLATE,Full,B-,GOOD -,AVERAGE,GOOD,6.0,3.0,1.0,2.0,Central Heat,2.0,1,1568.0,1.0,,2019.0
0052E00033009300,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9482047634849, 40.4486314715311], [-79.9482283252268, 40.4486247497428], [-79.9482536947358, 40.4486766491165], [-79.9482301419175, 40.4486833902373], [-79.9482047634849, 40.4486314715311]]]]}",552, ,N NEVILLE ST,PITTSBURGH,PA,UNIT 93,15213,4th Ward - PITTSBURGH,Pittsburgh,NEVILLE HOUSE,REGULAR-ETUX OR ET VIR,RESIDENTIAL,CONDOMINIUM,0.0,08-21-2017,08-14-2017,215000.0,36,QUIT CLAIM / SPEC WARRNTY,05-15-1984,90000.0,,,100000.0,CONDO HR,1,1972.0,Brick,ROLL,None,C+,AVERAGE +,AVERAGE,AVERAGE,6.0,3.0,2.0,0.0,Central Heat with AC,0.0,0,1659.0,1.0,,2019.0
0028C00080000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9566735020427, 40.4421654252211], [-79.9564889136784, 40.442299253466], [-79.9564929690705, 40.4423024892498], [-79.9564362240894, 40.4423393166152], [-79.9563853775848, 40.4423723159258], [-79.9562193921995, 40.4422292105461], [-79.9564732139787, 40.4420489177767], [-79.9566600999067, 40.4421586280267], [-79.9566735020427, 40.4421654252211]]]]}",3903, ,FORBES AVE,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,PITTSBURGH URBAN,CORPORATION,COMMERCIAL,RETL/APT'S OVER,14342.0,,01-29-2001,342000.0,9,OTHER INVALID,12-30-1997,1.0,,,1284200.0,,,,,,,,,,,,,,,,,,,,,2019.0
0027L00081000100,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9550694874462, 40.4460585332993], [-79.9544469537675, 40.4465183343723], [-79.9541230263336, 40.4462584111306], [-79.9547467220662, 40.445803192829], [-79.9550694874462, 40.4460585332993]]]]}",100, ,LYTTON AVE,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,PITTSBURGH URBAN,CORPORATION,COMMERCIAL,HOTELS,61500.0,,12-23-1993,1.0,3,LOVE&AFFECTION,,,,,16472400.0,,,,,,,,,,,,,,,,,,,,,2019.0
0052E00011090900,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.948387528541, 40.4479859870867], [-79.9484009640631, 40.4480114459237], [-79.9483509774285, 40.4480268420904], [-79.948337541937, 40.4480013837008], [-79.948387528541, 40.4479859870867]]]]}",128, ,N CRAIG ST,PITTSBURGH,PA,UNIT 909,15213,4th Ward - PITTSBURGH,Pittsburgh,PARK PLAZA,REGULAR-ETUX OR ET VIR,RESIDENTIAL,CONDOMINIUM,0.0,04-16-2015,04-15-2015,94000.0,36,QUIT CLAIM / SPEC WARRNTY,04-14-1998,42000.0,04-22-1996,36000.0,75100.0,CONDO HR,1,1957.0,Brick,ROLL,None,C,AVERAGE,GOOD,GOOD,4.0,1.0,1.0,0.0,Central Heat with AC,0.0,0,1090.0,1.0,,2019.0
0052E00011050300,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9490137542307, 40.4477678847952], [-79.9490270424387, 40.447793388536], [-79.9489669520446, 40.4478116615224], [-79.9489536638558, 40.4477861577749], [-79.9489790797997, 40.4477781014722], [-79.9490137542307, 40.4477678847952]]]]}",128, ,N CRAIG ST,PITTSBURGH,PA,UNIT 503,15213,4th Ward - PITTSBURGH,Pittsburgh,PARK PLAZA,REGULAR-ETUX OR ET VIR,RESIDENTIAL,CONDOMINIUM,0.0,05-24-2012,05-24-2012,227000.0,Z,OTHER,11-10-2004,0.0,03-11-2003,105000.0,227000.0,CONDO HR,1,1957.0,Brick,ROLL,None,C,AVERAGE,GOOD,GOOD,6.0,3.0,2.0,0.0,Central Heat with AC,0.0,0,1680.0,1.0,,2019.0
0052J00210000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9470695838366, 40.446336800192], [-79.9472289181744, 40.4463136804753], [-79.9472361010903, 40.4463126515638], [-79.9473360868841, 40.4463110947137], [-79.9473414633254, 40.4464025896577], [-79.947302931146, 40.4463910570196], [-79.9471102373751, 40.446428150465], [-79.9470695838366, 40.446336800192]]]]}",4630, ,HENRY ST,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,10403,CORPORATION,RESIDENTIAL,SINGLE FAMILY,3120.0,12-30-2010,12-30-2010,150000.0,13,EXEMPT,06-02-1999,130000.0,10-12-1995,0.0,127200.0,OLD STYLE,2,1890.0,Frame,SHINGLE,Full,C,AVERAGE,FAIR,GOOD,6.0,3.0,2.0,0.0,Central Heat,0.0,0,1474.0,1.0,,2019.0
0027L00053000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9561703718121, 40.4479031079484], [-79.9560172661311, 40.4477796514419], [-79.9563316229486, 40.4475548756552], [-79.9563812151165, 40.447594909441], [-79.9564853511809, 40.44767898142], [-79.9561703718121, 40.4479031079484]]]]}",213, ,TENNYSON AVE,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,10401,REGULAR,RESIDENTIAL,SINGLE FAMILY,7200.0,,03-12-1969,0.0,N,NOT APPLICABLE,,,,,463400.0,OLD STYLE,2,1925.0,Brick,SLATE,Full,A-,VERY GOOD -,AVERAGE,AVERAGE,9.0,5.0,3.0,1.0,Central Heat,1.0,0,3238.0,1.0,,2019.0
