PIN,geom,PROPERTYHOUSENUM__asmt,PROPERTYFRACTION__asmt,PROPERTYADDRESS__asmt,PROPERTYCITY__asmt,PROPERTYSTATE__asmt,PROPERTYUNIT__asmt,PROPERTYZIP__asmt,MUNIDESC__asmt,SCHOOLDESC__asmt,NEIGHDESC__asmt,OWNERDESC__asmt,CLASSDESC__asmt,USEDESC__asmt,LOTAREA__asmt,RECORDDATE__asmt,SALEDATE__asmt,SALEPRICE__asmt,SALECODE__asmt,SALEDESC__asmt,PREVSALEDATE__asmt,PREVSALEPRICE__asmt,PREVSALEDATE2__asmt,PREVSALEPRICE2__asmt,FAIRMARKETTOTAL__asmt,STYLEDESC__asmt,STORIES__asmt,YEARBLT__asmt,EXTFINISH_DESC__asmt,ROOFDESC__asmt,BASEMENTDESC__asmt,GRADE__asmt,GRADEDESC__asmt,CONDITIONDESC__asmt,CDUDESC__asmt,TOTALROOMS__asmt,BEDROOMS__asmt,FULLBATHS__asmt,HALFBATHS__asmt,HEATINGCOOLINGDESC__asmt,FIREPLACES__asmt,BSMTGARAGE__asmt,FINISHEDLIVINGAREA__asmt,CARDNUMBER__asmt,ALT_ID__asmt,TAXYEAR__asmt
0046G00025000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0068844798022, 40.4690309730039], [-80.0069807108331, 40.469022756231], [-80.0070269549219, 40.4693525257129], [-80.0069177412994, 40.469362253792], [-80.0068844798022, 40.4690309730039]]]]}",228, ,E MCINTYRE AVE,PITTSBURGH,PA, ,15214,26th Ward - PITTSBURGH,Pittsburgh,WARD 26 - PERRY SOUTH,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,3600.0,,12-03-1980,27000.0,0,VALID SALE,,,,,51900.0,OLD STYLE,2,1910.0,Frame,SHINGLE,Full,C,AVERAGE,FAIR,FAIR,6.0,3.0,1.0,0.0,Central Heat,0.0,0,1944.0,1.0,,2019.0
0046N00139000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0141596982969, 40.4641312296721], [-80.014207358853, 40.4640397718322], [-80.0145065330855, 40.4641379094266], [-80.0144581956653, 40.4642306634247], [-80.0141596982969, 40.4641312296721]]]]}",2133, ,HOLYOKE ST,PITTSBURGH,PA, ,15214,25th Ward - PITTSBURGH,Pittsburgh,WARD 25,REGULAR,RESIDENTIAL,SINGLE FAMILY,3780.0,09-07-2016,09-06-2016,1000.0,36,QUIT CLAIM / SPEC WARRNTY,01-19-1996,500.0,,,51000.0,OLD STYLE,2,1881.0,Brick,SHINGLE,Full,C-,AVERAGE -,AVERAGE,FAIR,6.0,2.0,1.0,0.0,Central Heat,0.0,0,1229.0,1.0,,2019.0
0077N00245000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0139249809213, 40.4731181904261], [-80.0135706962513, 40.4731289711554], [-80.0135676215109, 40.4730597196837], [-80.0139218006392, 40.4730458064245], [-80.0139249809213, 40.4731181904261]]]]}",2721, ,NORWOOD AVE,PITTSBURGH,PA, ,15214,26th Ward - PITTSBURGH,Pittsburgh,WARD 26 - PERRY SOUTH,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,2500.0,04-04-2018,03-30-2018,1.0,3,LOVE&AFFECTION,10-10-1990,1.0,,,50200.0,OLD STYLE,2,1920.0,Frame,SHINGLE,Full,C,AVERAGE,AVERAGE,AVERAGE,5.0,2.0,1.0,0.0,Central Heat,0.0,0,1298.0,1.0,,2019.0
0046J00009000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0147898339963, 40.4672264098087], [-80.0148038938104, 40.4672238757984], [-80.0148629559965, 40.4671956358688], [-80.0149339348591, 40.4674158475845], [-80.0149349018217, 40.4674188471629], [-80.0148571350797, 40.4674481364503], [-80.014856656467, 40.467446560615], [-80.0147898339963, 40.4672264098087]]]]}",0, ,CHESTER AVE,PITTSBURGH,PA, ,15214,26th Ward - PITTSBURGH,Pittsburgh,WARD 26 - PERRY SOUTH,REGULAR,RESIDENTIAL,SINGLE FAMILY,2375.0,,08-20-1970,0.0,N,NOT APPLICABLE,,,,,24700.0,OLD STYLE,2,1900.0,Frame,SHINGLE,Full,C-,AVERAGE -,FAIR,POOR,5.0,2.0,1.0,0.0,Central Heat,0.0,0,1800.0,1.0,,2019.0
0046A00061000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0127590672091, 40.4713398604203], [-80.0127456129202, 40.4713041318633], [-80.0129513876855, 40.4712655288917], [-80.012975607402, 40.471338116862], [-80.0127724534016, 40.4713754347802], [-80.0127593610396, 40.4713406368454], [-80.0127590672091, 40.4713398604203]]]]}",2628, ,NORWOOD AVE,PITTSBURGH,PA, ,15214,26th Ward - PITTSBURGH,Pittsburgh,WARD 26 - PERRY SOUTH,CORPORATION,RESIDENTIAL,SINGLE FAMILY,1625.0,05-25-2012,05-25-2012,15500.0,AA,SALE NOT ANALYZ,05-05-2006,17000.0,05-05-2006,8500.0,40700.0,OLD STYLE,2,1928.0,Frame,SHINGLE,Full,C,AVERAGE,FAIR,FAIR,6.0,3.0,1.0,0.0,Central Heat,0.0,0,1864.0,1.0,,2019.0
0046F00091000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0107160036635, 40.4687596192731], [-80.010836667832, 40.4687554989056], [-80.0108527773409, 40.4689938010231], [-80.0107353390948, 40.4690156152944], [-80.0107160036635, 40.4687596192731]]]]}",38, ,W MCINTYRE AVE,PITTSBURGH,PA, ,15214,26th Ward - PITTSBURGH,Pittsburgh,WARD 26 - PERRY SOUTH,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,3265.0,11-20-2015,11-14-2015,10.0,3,LOVE&AFFECTION,01-24-2007,10.0,08-02-1999,57900.0,60800.0,OLD STYLE,2,1925.0,Brick,SLATE,Full,C,AVERAGE,AVERAGE,AVERAGE,6.0,3.0,1.0,1.0,Central Heat,0.0,0,1452.0,1.0,,2019.0
0046K00216000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0098093850746, 40.46520362648], [-80.0099656561394, 40.4651742101418], [-80.0100245324385, 40.4654550606175], [-80.0098994271442, 40.4654785344545], [-80.0098093850746, 40.46520362648]]]]}",0, ,LAFAYETTE AVE,PITTSBURGH,PA, ,15214,26th Ward - PITTSBURGH,Pittsburgh,WARD 26 - PERRY SOUTH,CORPORATION,RESIDENTIAL,VACANT LAND,3412.0,02-04-2015,02-04-2015,6972.0,GV,GOVT SALE,12-13-2000,35000.0,08-05-1992,1.0,15100.0,,,,,,,,,,,,,,,,,,,,,2019.0
0046F00037000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0100775350012, 40.4692847354339], [-80.0101679700189, 40.4692680281056], [-80.0102769910426, 40.4695680790205], [-80.010183108761, 40.4695855911068], [-80.0100775350012, 40.4692847354339]]]]}",32, ,KENWOOD AVE,PITTSBURGH,PA, ,15214,26th Ward - PITTSBURGH,Pittsburgh,WARD 26 - PERRY SOUTH,CORPORATION,RESIDENTIAL,SINGLE FAMILY,2760.0,02-09-2016,02-04-2016,18000.0,UR,OTHER VALID,10-01-2014,30000.0,08-18-2014,1.0,31200.0,SEMI DETACHED,2.5,1910.0,Frame,SHINGLE,Full,C,AVERAGE,AVERAGE,AVERAGE,8.0,4.0,1.0,0.0,Central Heat,0.0,0,2266.0,1.0,,2019.0
0046N00287000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0122557916442, 40.4631632012581], [-80.0121699488354, 40.463179869512], [-80.0120467217184, 40.4628340552756], [-80.0121522504954, 40.4628129971167], [-80.0122557916442, 40.4631632012581]]]]}",228, ,LANGLEY AVE,PITTSBURGH,PA, ,15214,25th Ward - PITTSBURGH,Pittsburgh,WARD 25,REGULAR,RESIDENTIAL,SINGLE FAMILY,3144.0,05-24-2007,05-24-2007,33000.0,AA,SALE NOT ANALYZ,10-16-2006,5186.0,04-12-2004,1.0,65100.0,OLD STYLE,2,1900.0,Frame,SHINGLE,None,C,AVERAGE,AVERAGE,AVERAGE,6.0,3.0,1.0,1.0,Central Heat,0.0,0,1680.0,1.0,,2019.0
0077N00163000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-80.0137581913525, 40.473719861734], [-80.0136779215946, 40.4737225783197], [-80.0136640554382, 40.473441670952], [-80.0137489756892, 40.4734390941108], [-80.0137581913525, 40.473719861734]]]]}",300, ,MAYFIELD AVE,PITTSBURGH,PA, ,15214,26th Ward - PITTSBURGH,Pittsburgh,WARD 26 - PERRY SOUTH,REGULAR,RESIDENTIAL,VACANT LAND,2500.0,,09-16-2002,300.0,9,OTHER INVALID,07-25-1974,150.0,,,900.0,,,,,,,,,,,,,,,,,,,,,2019.0
