PIN,geom,PROPERTYHOUSENUM__asmt,PROPERTYFRACTION__asmt,PROPERTYADDRESS__asmt,PROPERTYCITY__asmt,PROPERTYSTATE__asmt,PROPERTYUNIT__asmt,PROPERTYZIP__asmt,MUNIDESC__asmt,SCHOOLDESC__asmt,NEIGHDESC__asmt,OWNERDESC__asmt,CLASSDESC__asmt,USEDESC__asmt,LOTAREA__asmt,RECORDDATE__asmt,SALEDATE__asmt,SALEPRICE__asmt,SALECODE__asmt,SALEDESC__asmt,PREVSALEDATE__asmt,PREVSALEPRICE__asmt,PREVSALEDATE2__asmt,PREVSALEPRICE2__asmt,FAIRMARKETTOTAL__asmt,STYLEDESC__asmt,STORIES__asmt,YEARBLT__asmt,EXTFINISH_DESC__asmt,ROOFDESC__asmt,BASEMENTDESC__asmt,GRADE__asmt,GRADEDESC__asmt,CONDITIONDESC__asmt,CDUDESC__asmt,TOTALROOMS__asmt,BEDROOMS__asmt,FULLBATHS__asmt,HALFBATHS__asmt,HEATINGCOOLINGDESC__asmt,FIREPLACES__asmt,BSMTGARAGE__asmt,FINISHEDLIVINGAREA__asmt,CARDNUMBER__asmt,ALT_ID__asmt,TAXYEAR__asmt
0026K00017000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9602747665934, 40.4574282734196], [-79.9603477196443, 40.4573920531777], [-79.9604739195893, 40.4575820082847], [-79.9604025612147, 40.4576121366597], [-79.9602747665934, 40.4574282734196]]]]}",0, ,FINLAND ST,PITTSBURGH,PA, ,15213,6th Ward - PITTSBURGH,Pittsburgh,10601,REGULAR,RESIDENTIAL,VACANT LAND,1540.0,,03-01-1995,37000.0,8,OTHER,,,,,4600.0,,,,,,,,,,,,,,,,,,,,,2019.0
0025M00116000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9686589705531, 40.4568328903753], [-79.9687510263118, 40.4568311233548], [-79.9687664234515, 40.4569985776944], [-79.9686712987126, 40.4570028040937], [-79.9686589705531, 40.4568328903753]]]]}",3034, ,PULAWSKI WAY,PITTSBURGH,PA, ,15219,6th Ward - PITTSBURGH,Pittsburgh,10601,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,1500.0,04-09-2018,04-06-2018,77000.0,36,QUIT CLAIM / SPEC WARRNTY,12-11-2015,40000.0,03-14-2000,18000.0,58600.0,OLD STYLE,3,1900.0,Brick,RUBBER,Full,C-,AVERAGE -,POOR,POOR,6.0,3.0,2.0,0.0,Central Heat,0.0,0,2466.0,1.0,,2019.0
0026F00246000100,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9608219495512, 40.4579489260871], [-79.9609682068649, 40.457887184093], [-79.9611341713641, 40.4581249569985], [-79.9609861250371, 40.4581869859736], [-79.9608219495512, 40.4579489260871]]]]}",3443, ,BIGELOW BLVD,PITTSBURGH,PA, ,15213,6th Ward - PITTSBURGH,Pittsburgh,10601,REGULAR,RESIDENTIAL,SINGLE FAMILY,4400.0,,03-19-1979,42500.0,0,VALID SALE,,,,,73500.0,OLD STYLE,2.5,1903.0,Brick,SHINGLE,Full,C-,AVERAGE -,FAIR,POOR,8.0,5.0,1.0,2.0,Central Heat,0.0,0,2257.0,1.0,,2019.0
0025M00251000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9684897211163, 40.4559703907101], [-79.9684800463517, 40.4558128740633], [-79.9686213708567, 40.4558063848454], [-79.9686304223583, 40.4559586046818], [-79.9686407431321, 40.456135766053], [-79.9684998736073, 40.456142429281], [-79.9684897211163, 40.4559703907101]]]]}",3011, ,PAULOWNA ST,PITTSBURGH,PA, ,15219,6th Ward - PITTSBURGH,Pittsburgh,10601,CORPORATION,RESIDENTIAL,VACANT LAND,4800.0,03-04-2016,03-01-2016,45000.0,H,MULTI-PARCEL SA,03-25-2015,60000.0,11-13-1995,1.0,7200.0,,,,,,,,,,,,,,,,,,,,,2019.0
0026J00091000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9643042180764, 40.4572265743636], [-79.9642690436407, 40.4572533204275], [-79.9641683796355, 40.4571485230883], [-79.9641437244834, 40.4571119678116], [-79.9641234558244, 40.4570899602437], [-79.9641136844625, 40.4570954008595], [-79.9640684315023, 40.4571206001079], [-79.9640495069069, 40.4571005491788], [-79.9640944915225, 40.4570758914856], [-79.9641390323637, 40.4570514771518], [-79.9643042180764, 40.4572265743636]]]]}",1024, 1/2,HERRON AVE,PITTSBURGH,PA, ,15219,6th Ward - PITTSBURGH,Pittsburgh,10601,REGULAR,RESIDENTIAL,ROWHOUSE,3200.0,08-31-2009,08-31-2009,148000.0,29,OTHER,04-21-2003,50000.0,07-28-1997,10580.0,148000.0,ROW INTERIOR,3,1880.0,Brick,ROLL,Full,C,AVERAGE,AVERAGE,AVERAGE,6.0,6.0,1.0,1.0,Central Heat,0.0,0,1372.0,1.0,,2019.0
0025M00145000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9683933539188, 40.4568687800801], [-79.9683814861457, 40.4566889110489], [-79.9684703215861, 40.4566848028706], [-79.9684847852299, 40.4568649730297], [-79.9684963178801, 40.4570107160295], [-79.9684029912275, 40.4570148188237], [-79.9683933539188, 40.4568687800801]]]]}",3039, ,BRERETON ST,PITTSBURGH,PA, ,15219,6th Ward - PITTSBURGH,Pittsburgh,10601,REGULAR,RESIDENTIAL,THREE FAMILY,3000.0,10-17-2005,10-17-2005,1.0,3,LOVE&AFFECTION,01-04-1996,0.0,,,105900.0,MULTI-FAMILY,3,1900.0,Frame,ROLL,Full,C-,AVERAGE -,AVERAGE,AVERAGE,12.0,6.0,3.0,0.0,Central Heat,0.0,0,2346.0,1.0,,2019.0
0026F00065000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.959748277547, 40.459791279255], [-79.9598393289409, 40.4597724697162], [-79.9599448008746, 40.4600566153321], [-79.9598541522796, 40.4600739780607], [-79.959748277547, 40.459791279255]]]]}",3609, ,MELWOOD AVE,PITTSBURGH,PA, ,15213,6th Ward - PITTSBURGH,Pittsburgh,10601,REGULAR,RESIDENTIAL,SINGLE FAMILY,2770.0,04-06-2006,04-06-2006,17000.0,1,SHERIFF SALE,12-13-2005,3909.0,08-17-2005,1.0,64700.0,OLD STYLE,2,1900.0,Frame,SHINGLE,Full,C-,AVERAGE -,FAIR,FAIR,6.0,3.0,1.0,0.0,Central Heat,,0,2100.0,1.0,,2019.0
0026J00052000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9657473727611, 40.4563234123881], [-79.9658322126024, 40.456320938998], [-79.9658585929136, 40.4566451298346], [-79.965771989505, 40.4566486640632], [-79.9657473727611, 40.4563234123881]]]]}",3210, ,BRERETON ST,PITTSBURGH,PA, ,15219,6th Ward - PITTSBURGH,Pittsburgh,10601,REGULAR,RESIDENTIAL,SINGLE FAMILY,3000.0,12-26-2006,12-26-2006,5000.0,0,VALID SALE,08-02-2006,16610.0,04-05-1994,15500.0,53700.0,OLD STYLE,1.5,1900.0,Frame,SHINGLE,None,D+,BELOW AVERAGE +,FAIR,AVERAGE,5.0,2.0,1.0,0.0,Central Heat,0.0,0,1133.0,1.0,,2019.0
0025M00143000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9682033725968, 40.4566971329747], [-79.9682850300242, 40.4566934152517], [-79.968300557048, 40.4568724346135], [-79.9683132571558, 40.4570188525948], [-79.9682257661486, 40.4570227734214], [-79.9682033725968, 40.4566971329747]]]]}",3043, ,BRERETON ST,PITTSBURGH,PA, ,15219,6th Ward - PITTSBURGH,Pittsburgh,10601,REGULAR,RESIDENTIAL,SINGLE FAMILY,3000.0,,08-31-1961,0.0,N,NOT APPLICABLE,,,,,36000.0,OLD STYLE,2,1900.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,FAIR,FAIR,6.0,3.0,1.0,0.0,Central Heat with AC,0.0,0,1956.0,1.0,,2019.0
0026F00289000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9583296619635, 40.4584052185619], [-79.9586752803458, 40.4581803171437], [-79.9590207096075, 40.4584997874967], [-79.9587069151635, 40.458618519628], [-79.958601301, 40.4586473267213], [-79.9583296619635, 40.4584052185619]]]]}",0, ,RIDGWAY ST,PITTSBURGH,PA, ,15213,6th Ward - PITTSBURGH,Pittsburgh,10601,CORPORATION,GOVERNMENT,MUNICIPAL GOVERNMENT,12222.0,,03-11-1983,51500.0,9,OTHER INVALID,,,,,30700.0,,,,,,,,,,,,,,,,,,,,,2019.0
