PIN,geom,PROPERTYHOUSENUM__asmt,PROPERTYFRACTION__asmt,PROPERTYADDRESS__asmt,PROPERTYCITY__asmt,PROPERTYSTATE__asmt,PROPERTYUNIT__asmt,PROPERTYZIP__asmt,MUNIDESC__asmt,SCHOOLDESC__asmt,NEIGHDESC__asmt,OWNERDESC__asmt,CLASSDESC__asmt,USEDESC__asmt,LOTAREA__asmt,RECORDDATE__asmt,SALEDATE__asmt,SALEPRICE__asmt,SALECODE__asmt,SALEDESC__asmt,PREVSALEDATE__asmt,PREVSALEPRICE__asmt,PREVSALEDATE2__asmt,PREVSALEPRICE2__asmt,FAIRMARKETTOTAL__asmt,STYLEDESC__asmt,STORIES__asmt,YEARBLT__asmt,EXTFINISH_DESC__asmt,ROOFDESC__asmt,BASEMENTDESC__asmt,GRADE__asmt,GRADEDESC__asmt,CONDITIONDESC__asmt,CDUDESC__asmt,TOTALROOMS__asmt,BEDROOMS__asmt,FULLBATHS__asmt,HALFBATHS__asmt,HEATINGCOOLINGDESC__asmt,FIREPLACES__asmt,BSMTGARAGE__asmt,FINISHEDLIVINGAREA__asmt,CARDNUMBER__asmt,ALT_ID__asmt,TAXYEAR__asmt
0028R00044000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9542737679587, 40.4344030716501], [-79.9541337183057, 40.4343849892642], [-79.9541708845776, 40.4342393674781], [-79.9543065113423, 40.4342577409536], [-79.9542737679587, 40.4344030716501]]]]}",3600, ,BLVD OF THE ALLIES ,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,PITTSBURGH URBAN,CORPORATION,COMMERCIAL,COMM AUX BUILDING,2120.0,,10-21-1952,0.0,3,LOVE&AFFECTION,,,,,28000.0,,,,,,,,,,,,,,,,,,,,,2019.0
0029D00021000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9531574205261, 40.4321792604883], [-79.9531718171838, 40.4321149162174], [-79.9533081472893, 40.4321339625071], [-79.9534156567308, 40.4321489556975], [-79.9535899555111, 40.4321732780711], [-79.9535754665818, 40.4322357483174], [-79.9531574205261, 40.4321792604883]]]]}",3274, ,DAWSON ST,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,10403,REGULAR,RESIDENTIAL,ROWHOUSE,2796.0,,07-14-1998,47000.0,U,OTHER VALID,01-05-1998,1.0,,,104000.0,ROW INTERIOR,3,1900.0,Brick,SHINGLE,Full,D+,BELOW AVERAGE +,FAIR,AVERAGE,7.0,4.0,2.0,0.0,Central Heat,0.0,0,2594.0,1.0,,2019.0
0029C00144000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9559474458727, 40.4330801440983], [-79.955881773541, 40.4330708506039], [-79.9559417946957, 40.4327973609132], [-79.9558555498621, 40.4327844550112], [-79.9557889863638, 40.432774465689], [-79.9558121382456, 40.4326693147025], [-79.9560301021341, 40.4327020858828], [-79.9560091016647, 40.4327980193065], [-79.9559474458727, 40.4330801440983]]]]}",510, ,CATO ST,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,10403,REGULAR,RESIDENTIAL,SINGLE FAMILY,5971.0,06-18-2019,05-02-2019,1.0,3,LOVE&AFFECTION,09-16-2015,1.0,08-06-1998,1.0,96400.0,RANCH,1,1960.0,Brick,SHINGLE,Full,C,AVERAGE,AVERAGE,AVERAGE,3.0,1.0,1.0,0.0,Central Heat,0.0,0,900.0,1.0,,2019.0
0029G00042000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9545928709165, 40.429926807177], [-79.9548392478031, 40.4297268967594], [-79.9548837356177, 40.4297577006892], [-79.9546357899807, 40.4299588349051], [-79.9545928709165, 40.429926807177]]]]}",3632, ,FRAZIER ST,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,10403,REGULAR,RESIDENTIAL,SINGLE FAMILY,1700.0,,06-10-1981,7000.0,4,OTHER,,,,,74100.0,OLD STYLE,2.5,1900.0,Brick,SHINGLE,Full,D+,BELOW AVERAGE +,POOR,FAIR,6.0,2.0,2.0,0.0,Central Heat,0.0,0,1466.0,1.0,,2019.0
0028R00151000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9555724046526, 40.4339519274292], [-79.955621377027, 40.4337195864403], [-79.955679067838, 40.4337272722335], [-79.9556251429298, 40.4339594792574], [-79.9555724046526, 40.4339519274292]]]]}",9, ,VIRGILA PL,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,10403,REGULAR-ETUX OR ET VIR,RESIDENTIAL,ROWHOUSE,1360.0,,05-09-1974,0.0,9,OTHER INVALID,,,,,54200.0,ROW INTERIOR,2,1900.0,Brick,ROLL,Full,D+,BELOW AVERAGE +,AVERAGE,AVERAGE,5.0,2.0,1.0,0.0,Central Heat,0.0,0,1320.0,1.0,,2019.0
0028R00115000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9552298565537, 40.4337833019655], [-79.9552370163576, 40.4337485689987], [-79.9554788835349, 40.4337796485679], [-79.9554706649486, 40.4338158432177], [-79.9552298565537, 40.4337833019655]]]]}",3314, ,HARDIE WAY,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,10403,CORPORATION,RESIDENTIAL,ROWHOUSE,845.0,07-03-2017,06-30-2017,95000.0,DT,DATE OF TRANSFER,09-23-2009,20000.0,11-25-1992,17000.0,49000.0,ROW END,2,1900.0,Brick,ROLL,Full,D+,BELOW AVERAGE +,AVERAGE,AVERAGE,4.0,2.0,1.0,0.0,Central Heat,0.0,0,988.0,1.0,,2019.0
0028P00092000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9606817476375, 40.4337099944365], [-79.9607102606533, 40.4336708691419], [-79.9609463789163, 40.4337677413794], [-79.9609179767757, 40.4338074586073], [-79.9606817476375, 40.4337099944365]]]]}",3109, ,NIAGARA ST,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,10403,REGULAR-ETUX OR ET VIR,RESIDENTIAL,ROWHOUSE,1152.0,08-24-2017,08-23-2017,65000.0,14,TIME ON MARKET,10-11-2016,0.0,02-19-1998,1.0,49900.0,ROW INTERIOR,2,1900.0,Brick,ROLL,Full,D+,BELOW AVERAGE +,FAIR,FAIR,6.0,3.0,1.0,0.0,Central Heat,0.0,0,1468.0,1.0,,2019.0
0028R00090000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.954247338249, 40.4334655877398], [-79.9542651729059, 40.4333854799733], [-79.9543359132661, 40.4333950581309], [-79.9547581901319, 40.4334522362598], [-79.9547391969475, 40.4335338951867], [-79.954247338249, 40.4334655877398]]]]}",3312, ,WARD ST,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,10403,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,4340.0,,12-02-1994,43000.0,0,VALID SALE,,,,,107700.0,OLD STYLE,2,1920.0,Brick,SHINGLE,Full,C,AVERAGE,FAIR,FAIR,6.0,3.0,1.0,0.0,Central Heat,0.0,0,2090.0,1.0,,2019.0
0028R00135000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.956143086083, 40.4334787232435], [-79.9561852533632, 40.4332929599966], [-79.956195121928, 40.4332495491658], [-79.9562712679248, 40.4332594437124], [-79.9562632614143, 40.4332929813566], [-79.9562167468493, 40.4334877724754], [-79.956143086083, 40.4334787232435]]]]}",501, ,CATO ST,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,10403,REGULAR,RESIDENTIAL,THREE FAMILY,1640.0,08-11-2015,08-04-2015,238888.0,14,TIME ON MARKET,05-02-1994,0.0,,,113800.0,MULTI-FAMILY,3,1900.0,Brick,ROLL,Full,D+,BELOW AVERAGE +,FAIR,FAIR,8.0,5.0,2.0,0.0,Central Heat,0.0,0,2452.0,1.0,,2019.0
0029D00105000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9520640883693, 40.4321673557648], [-79.9520766014241, 40.432109409179], [-79.952604990199, 40.4321750788576], [-79.9525931580163, 40.4322288940186], [-79.9520640883693, 40.4321673557648]]]]}",3320, ,PARKVIEW AVE,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,10403,REGULAR-ETAL,RESIDENTIAL,ROWHOUSE,3176.0,10-13-2011,10-13-2011,105000.0,AA,SALE NOT ANALYZ,05-13-2009,49000.0,05-05-1950,0.0,105000.0,ROW END,2,1920.0,Brick,SHINGLE,Full,C-,AVERAGE -,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat,0.0,0,1240.0,1.0,,2019.0
