PIN,geom,PROPERTYHOUSENUM__asmt,PROPERTYFRACTION__asmt,PROPERTYADDRESS__asmt,PROPERTYCITY__asmt,PROPERTYSTATE__asmt,PROPERTYUNIT__asmt,PROPERTYZIP__asmt,MUNIDESC__asmt,SCHOOLDESC__asmt,NEIGHDESC__asmt,OWNERDESC__asmt,CLASSDESC__asmt,USEDESC__asmt,LOTAREA__asmt,RECORDDATE__asmt,SALEDATE__asmt,SALEPRICE__asmt,SALECODE__asmt,SALEDESC__asmt,PREVSALEDATE__asmt,PREVSALEPRICE__asmt,PREVSALEDATE2__asmt,PREVSALEPRICE2__asmt,FAIRMARKETTOTAL__asmt,STYLEDESC__asmt,STORIES__asmt,YEARBLT__asmt,EXTFINISH_DESC__asmt,ROOFDESC__asmt,BASEMENTDESC__asmt,GRADE__asmt,GRADEDESC__asmt,CONDITIONDESC__asmt,CDUDESC__asmt,TOTALROOMS__asmt,BEDROOMS__asmt,FULLBATHS__asmt,HALFBATHS__asmt,HEATINGCOOLINGDESC__asmt,FIREPLACES__asmt,BSMTGARAGE__asmt,FINISHEDLIVINGAREA__asmt,CARDNUMBER__asmt,ALT_ID__asmt,TAXYEAR__asmt
0026K00090000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9617342775034, 40.4557045207709], [-79.961780687788, 40.4556755544972], [-79.9619867344909, 40.4559572733166], [-79.9617342775034, 40.4557045207709]]]]}",3416, ,MONROE ST,PITTSBURGH,PA, ,15213,5th Ward - PITTSBURGH,Pittsburgh,10503,CORPORATION,GOVERNMENT,MUNICIPAL GOVERNMENT,1652.0,,05-15-1992,0.0,3,LOVE&AFFECTION,,,,,600.0,,,,,,,,,,,,,,,,,,,,,2019.0
0027C00049000A00,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9572577992749, 40.4507205466629], [-79.9572791012521, 40.4506848766042], [-79.9575316677296, 40.4507674600353], [-79.9575098418837, 40.4508052014399], [-79.9572577992749, 40.4507205466629]]]]}",3120, ,IOWA ST,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10502,REGULAR,RESIDENTIAL,ROWHOUSE,1104.0,,08-05-1959,0.0,N,NOT APPLICABLE,,,,,50500.0,ROW INTERIOR,2,1920.0,Masonry FRAME,SHINGLE,Full,C-,AVERAGE -,AVERAGE,AVERAGE,5.0,2.0,1.0,0.0,Central Heat,0.0,0,1140.0,1.0,,2019.0
0027B00150000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.961120660303, 40.4524735966911], [-79.9612394803101, 40.4522771266246], [-79.9613331964604, 40.4523090257589], [-79.9612218207596, 40.4525058468357], [-79.961120660303, 40.4524735966911]]]]}",745, ,ANAHEIM ST,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,REGULAR,RESIDENTIAL,SINGLE FAMILY,2325.0,,12-08-1994,1.0,3,LOVE&AFFECTION,,,,,42800.0,OLD STYLE,2,1920.0,Brick,SHINGLE,Full,C-,AVERAGE -,FAIR,FAIR,5.0,2.0,1.0,0.0,Central Heat,0.0,0,1208.0,1.0,,2019.0
0027A00274000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9629515056922, 40.4519923517845], [-79.9629942994957, 40.4518323411481], [-79.9630729684479, 40.4518408121213], [-79.9630291932113, 40.4519993071734], [-79.9629515056922, 40.4519923517845]]]]}",0, ,CHEROKEE ST,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,REGULAR-ETUX OR ET VIR,RESIDENTIAL,VACANT LAND,1367.0,,06-19-1997,100.0,S,OTHER,,,,,500.0,,,,,,,,,,,,,,,,,,,,,2019.0
0027B00139000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9600527817075, 40.4520857086468], [-79.9601622992572, 40.4519103515586], [-79.9602279944212, 40.4519324591709], [-79.9601184775339, 40.452106944818], [-79.9600527817075, 40.4520857086468]]]]}",809, ,ANAHEIM ST,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,REGULAR,RESIDENTIAL,SINGLE FAMILY,1500.0,10-22-2015,10-08-2015,34500.0,H,MULTI-PARCEL SA,01-17-2013,36500.0,06-16-1999,16000.0,63200.0,OLD STYLE,2,1900.0,Brick,ROLL,Full,C-,AVERAGE -,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat,0.0,0,1490.0,1.0,,2019.0
0026J00230000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9620746062601, 40.4564801634552], [-79.9618927167384, 40.4560974616132], [-79.9619987663212, 40.4560328270827], [-79.9622072612052, 40.4564448802054], [-79.9620746062601, 40.4564801634552]]]]}",0, ,RIDGWAY ST,PITTSBURGH,PA, ,15213,5th Ward - PITTSBURGH,Pittsburgh,10502,REGULAR,GOVERNMENT,MUNICIPAL URBAN RENEWAL,3822.0,01-06-2015,01-05-2015,1000.0,H,MULTI-PARCEL SA,05-25-1971,0.0,,,1400.0,,,,,,,,,,,,,,,,,,,,,2019.0
0027B00027000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9577268157539, 40.4523691197571], [-79.9578697250124, 40.452110042936], [-79.9578787739346, 40.4520936912491], [-79.9579616979934, 40.4521202864413], [-79.9580348558293, 40.4521437485909], [-79.9580484023964, 40.4521480934678], [-79.9580325846032, 40.4521705565809], [-79.9578930987114, 40.4524243147772], [-79.9577268157539, 40.4523691197571]]]]}",918, ,CLARISSA ST,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,REGULAR,RESIDENTIAL,SINGLE FAMILY,4888.0,11-05-2014,10-27-2014,9000.0,36,QUIT CLAIM / SPEC WARRNTY,03-16-2009,1.0,01-12-2007,1.0,96100.0,OLD STYLE,2,1900.0,Brick,SHINGLE,Full,C,AVERAGE,AVERAGE,AVERAGE,6.0,3.0,2.0,1.0,Central Heat,0.0,0,2100.0,1.0,,2019.0
0026K00101000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9611950347822, 40.4560410903125], [-79.9612718857, 40.4559931000088], [-79.9615149291556, 40.4562457375592], [-79.9614505854847, 40.4562850658124], [-79.9611950347822, 40.4560410903125]]]]}",3430, ,MONROE ST,PITTSBURGH,PA, ,15213,5th Ward - PITTSBURGH,Pittsburgh,10503,REGULAR,RESIDENTIAL,VACANT LAND,2900.0,,05-23-1986,250.0,9,OTHER INVALID,,,,,5800.0,,,,,,,,,,,,,,,,,,,,,2019.0
0026R00010000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9569445469006, 40.452905518532], [-79.9569988689289, 40.4528134997137], [-79.9570500114528, 40.452726879353], [-79.9571010415235, 40.4526405086857], [-79.9571515379508, 40.4526577124199], [-79.9572072292513, 40.4526771285114], [-79.9571707117109, 40.4527374097015], [-79.9570481170238, 40.4529399703126], [-79.9569445469006, 40.452905518532]]]]}",918, ,ADELAIDE ST,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,REGULAR,RESIDENTIAL,TWO FAMILY,3119.0,03-16-2007,03-16-2007,0.0,3,LOVE&AFFECTION,10-06-2004,0.0,06-04-2001,1.0,106700.0,MULTI-FAMILY,2,1925.0,Brick,SHINGLE,Full,C,AVERAGE,AVERAGE,AVERAGE,10.0,4.0,2.0,0.0,Central Heat,0.0,0,2239.0,1.0,,2019.0
0026P00138000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9610530476063, 40.4539048123401], [-79.9611045684847, 40.4539486052326], [-79.9608325770345, 40.4541248528297], [-79.960785247648, 40.4540845250152], [-79.9607350471739, 40.454041733747], [-79.9607268459508, 40.4540347499955], [-79.9609972593314, 40.4538573357748], [-79.9610005106625, 40.4538600979948], [-79.9610530476063, 40.4539048123401]]]]}",713, ,CLARISSA ST,PITTSBURGH,PA, ,15219,5th Ward - PITTSBURGH,Pittsburgh,10503,REGULAR,RESIDENTIAL,SINGLE FAMILY,4400.0,10-16-2017,10-12-2017,138000.0,9,OTHER INVALID,06-19-2009,137000.0,10-19-2007,8781.0,87500.0,COLONIAL,2,2009.0,Frame,SHINGLE,Full,C,AVERAGE,GOOD,GOOD,6.0,2.0,1.0,1.0,Central Heat,,1,1464.0,1.0,,2019.0
