PIN,geom,PROPERTYHOUSENUM__asmt,PROPERTYFRACTION__asmt,PROPERTYADDRESS__asmt,PROPERTYCITY__asmt,PROPERTYSTATE__asmt,PROPERTYUNIT__asmt,PROPERTYZIP__asmt,MUNIDESC__asmt,SCHOOLDESC__asmt,NEIGHDESC__asmt,OWNERDESC__asmt,CLASSDESC__asmt,USEDESC__asmt,LOTAREA__asmt,RECORDDATE__asmt,SALEDATE__asmt,SALEPRICE__asmt,SALECODE__asmt,SALEDESC__asmt,PREVSALEDATE__asmt,PREVSALEPRICE__asmt,PREVSALEDATE2__asmt,PREVSALEPRICE2__asmt,FAIRMARKETTOTAL__asmt,STYLEDESC__asmt,STORIES__asmt,YEARBLT__asmt,EXTFINISH_DESC__asmt,ROOFDESC__asmt,BASEMENTDESC__asmt,GRADE__asmt,GRADEDESC__asmt,CONDITIONDESC__asmt,CDUDESC__asmt,TOTALROOMS__asmt,BEDROOMS__asmt,FULLBATHS__asmt,HALFBATHS__asmt,HEATINGCOOLINGDESC__asmt,FIREPLACES__asmt,BSMTGARAGE__asmt,FINISHEDLIVINGAREA__asmt,CARDNUMBER__asmt,ALT_ID__asmt,TAXYEAR__asmt
0080H00110000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9523816005765, 40.4778495410165], [-79.9523384354571, 40.4778352071861], [-79.9522101163836, 40.4777925976287], [-79.9522493750874, 40.4777239582646], [-79.9523335355726, 40.4777391950784], [-79.9523183868021, 40.477767147657], [-79.9525752162369, 40.4778552256874], [-79.9525463129678, 40.4779042399158], [-79.9523816005765, 40.4778495410165]]]]}",5165, ,STANTON AVE,PITTSBURGH,PA, ,15201,10th Ward - PITTSBURGH,Pittsburgh,11003,REGULAR,RESIDENTIAL,TWO FAMILY,2200.0,09-02-2015,09-01-2015,143000.0,9,OTHER INVALID,12-02-2005,60500.0,02-24-1989,1.0,62300.0,MULTI-FAMILY,2,1950.0,Brick,SHINGLE,Full,D+,BELOW AVERAGE +,AVERAGE,AVERAGE,6.0,2.0,2.0,0.0,Central Heat,0.0,0,1360.0,1.0,,2019.0
0080D00006000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9524744817949, 40.4818252438288], [-79.9525271266961, 40.4817977577713], [-79.9526278414949, 40.4819040740822], [-79.9526533267072, 40.481931000074], [-79.9526043710493, 40.4819591735884], [-79.9524744817949, 40.4818252438288]]]]}",5268, ,BUTLER ST,PITTSBURGH,PA, ,15201,10th Ward - PITTSBURGH,Pittsburgh,11003,CORPORATION,RESIDENTIAL,ROWHOUSE,1180.0,11-03-2011,11-03-2011,20000.0,AA,SALE NOT ANALYZ,05-03-1996,9950.0,,,20000.0,ROW INTERIOR,2,1920.0,Brick,SHINGLE,Full,D,BELOW AVERAGE,POOR,FAIR,6.0,2.0,1.0,1.0,Central Heat,0.0,0,1568.0,1.0,,2019.0
0119S00120000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9515662391156, 40.4823941465299], [-79.9516668753043, 40.4824980574559], [-79.9516101218034, 40.4825302825527], [-79.9515061346059, 40.4824255865639], [-79.9515662391156, 40.4823941465299]]]]}",0, ,BUTLER ST,PITTSBURGH,PA, ,15201,10th Ward - PITTSBURGH,Pittsburgh,11003,REGULAR,RESIDENTIAL,VACANT LAND,872.0,12-11-2007,12-11-2007,1.0,3,LOVE&AFFECTION,11-05-1992,2000.0,,,400.0,,,,,,,,,,,,,,,,,,,,,2019.0
0119S00115000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9510254843761, 40.4826363690205], [-79.9510700196332, 40.4826113995765], [-79.9511161550217, 40.4825855329306], [-79.9512576526895, 40.4827304595983], [-79.9511920148063, 40.4827677483484], [-79.9510254843761, 40.4826363690205]]]]}",5336, ,BUTLER ST,PITTSBURGH,PA, ,15201,10th Ward - PITTSBURGH,Pittsburgh,PITTSBURGH URBAN,CORPORATION,COMMERCIAL,RETL/APT'S OVER,1625.0,09-02-2011,09-02-2011,25000.0,Z,OTHER,07-01-2010,67000.0,01-28-2010,1679.0,91500.0,,,,,,,,,,,,,,,,,,,,,2019.0
0119S00090000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9498135914848, 40.4831932018129], [-79.9498729530364, 40.4831599681081], [-79.9500936163874, 40.4833908369161], [-79.950034446596, 40.4834244543085], [-79.9498135914848, 40.4831932018129]]]]}",5435, ,DRESDEN WAY,PITTSBURGH,PA, ,15201,10th Ward - PITTSBURGH,Pittsburgh,11003,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,2000.0,10-27-2003,10-27-2003,25000.0,Z,OTHER,02-14-1980,8000.0,,,66700.0,OLD STYLE,2,1900.0,Frame,SHINGLE,Full,D,BELOW AVERAGE,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat,0.0,0,1485.0,1.0,,2019.0
0080D00052000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9532812678363, 40.4810231510367], [-79.9532656639367, 40.4810424750604], [-79.9531103993259, 40.4812347142111], [-79.9529600146474, 40.4811233988421], [-79.9529798450516, 40.4810901616469], [-79.9530021676884, 40.4811010847183], [-79.9531070271528, 40.4809683185652], [-79.9531196495743, 40.4809497038514], [-79.9532812678363, 40.4810231510367]]]]}",91, ,MCCANDLESS AVE,PITTSBURGH,PA, ,15201,10th Ward - PITTSBURGH,Pittsburgh,PITTSBURGH URBAN,REGULAR-ETUX OR ET VIR,COMMERCIAL,VACANT COMMERCIAL LAND,4918.0,12-08-2016,12-05-2016,1.0,3,LOVE&AFFECTION,09-23-2008,200.0,03-30-2007,3230.0,44800.0,,,,,,,,,,,,,,,,,,,,,2019.0
0080C00183000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9547240468613, 40.4809505016701], [-79.9548534093832, 40.4807754130672], [-79.9550836936297, 40.4809373967877], [-79.954935277351, 40.4810832601501], [-79.9547240468613, 40.4809505016701]]]]}",211, ,52ND ST,PITTSBURGH,PA, ,15201,10th Ward - PITTSBURGH,Pittsburgh,PITTSBURGH URBAN,CORPORATION,COMMERCIAL,COMM AUX BUILDING,5500.0,12-20-2017,12-20-2017,550000.0,H,MULTI-PARCEL SA,04-25-2000,130000.0,05-08-1998,10.0,18700.0,,,,,,,,,,,,,,,,,,,,,2019.0
0119S00064000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9504060930146, 40.482455239579], [-79.9504542290581, 40.4824293387552], [-79.9505558677737, 40.4825363261729], [-79.9505089935759, 40.482563136856], [-79.9504060930146, 40.482455239579]]]]}",5403, ,CARNEGIE ST,PITTSBURGH,PA, ,15201,10th Ward - PITTSBURGH,Pittsburgh,11003,REGULAR,RESIDENTIAL,ROWHOUSE,750.0,,02-14-2001,27000.0,U,OTHER VALID,,,,,45900.0,ROW INTERIOR,2.5,1900.0,Brick,SHINGLE,Full,D,BELOW AVERAGE,FAIR,FAIR,5.0,2.0,1.0,0.0,Central Heat,0.0,0,1488.0,1.0,,2019.0
0081E00095000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9476435339752, 40.4792224449245], [-79.9478254624654, 40.4793321136551], [-79.9475816382207, 40.4795649048361], [-79.9473814903081, 40.4794102066984], [-79.9476435339752, 40.4792224449245]]]]}",0, ,CELADINE ST,PITTSBURGH,PA, ,15201,10th Ward - PITTSBURGH,Pittsburgh,11003,CORPORATION,RESIDENTIAL,VACANT LAND,7560.0,12-04-2009,12-04-2009,55000.0,H,MULTI-PARCEL SA,11-13-1978,250.0,,,35200.0,,,,,,,,,,,,,,,,,,,,,2019.0
0120N00292000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9472190308366, 40.4842829922059], [-79.9470477884822, 40.4840575198058], [-79.9471167881438, 40.4840275609025], [-79.9472886305674, 40.4842521992879], [-79.9472190308366, 40.4842829922059]]]]}",5609, ,CARNEGIE ST,PITTSBURGH,PA, ,15201,10th Ward - PITTSBURGH,Pittsburgh,11003,REGULAR,RESIDENTIAL,SINGLE FAMILY,2000.0,01-07-2008,01-07-2008,1.0,3,LOVE&AFFECTION,06-20-2006,1.0,06-06-1953,0.0,75200.0,OLD STYLE,2,1900.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,AVERAGE,AVERAGE,5.0,2.0,1.0,0.0,Central Heat,0.0,0,1460.0,1.0,,2019.0
