PIN,geom,PROPERTYHOUSENUM__asmt,PROPERTYFRACTION__asmt,PROPERTYADDRESS__asmt,PROPERTYCITY__asmt,PROPERTYSTATE__asmt,PROPERTYUNIT__asmt,PROPERTYZIP__asmt,MUNIDESC__asmt,SCHOOLDESC__asmt,NEIGHDESC__asmt,OWNERDESC__asmt,CLASSDESC__asmt,USEDESC__asmt,LOTAREA__asmt,RECORDDATE__asmt,SALEDATE__asmt,SALEPRICE__asmt,SALECODE__asmt,SALEDESC__asmt,PREVSALEDATE__asmt,PREVSALEPRICE__asmt,PREVSALEDATE2__asmt,PREVSALEPRICE2__asmt,FAIRMARKETTOTAL__asmt,STYLEDESC__asmt,STORIES__asmt,YEARBLT__asmt,EXTFINISH_DESC__asmt,ROOFDESC__asmt,BASEMENTDESC__asmt,GRADE__asmt,GRADEDESC__asmt,CONDITIONDESC__asmt,CDUDESC__asmt,TOTALROOMS__asmt,BEDROOMS__asmt,FULLBATHS__asmt,HALFBATHS__asmt,HEATINGCOOLINGDESC__asmt,FIREPLACES__asmt,BSMTGARAGE__asmt,FINISHEDLIVINGAREA__asmt,CARDNUMBER__asmt,ALT_ID__asmt,TAXYEAR__asmt
0028E00045000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.962350711487, 40.4401896077892], [-79.9625311548132, 40.4400611207577], [-79.9625671334038, 40.4400896528161], [-79.9623888374068, 40.4402198114019], [-79.962350711487, 40.4401896077892]]]]}",142, ,CHESTERFIELD RD,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,10403,REGULAR-ETUX OR ET VIR,RESIDENTIAL,ROWHOUSE,1040.0,03-13-2018,03-09-2018,182000.0,9,OTHER INVALID,07-03-1997,46000.0,,,62500.0,ROW END,2,1900.0,Brick,SHINGLE,Full,C,AVERAGE,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat,0.0,0,1064.0,1.0,,2019.0
0028A00061000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9656123857727, 40.4423487529093], [-79.9656176295532, 40.4424172943114], [-79.9653675063018, 40.4424250099757], [-79.9653623055686, 40.4423571346262], [-79.9656123857727, 40.4423487529093]]]]}",258, ,ROBINSON ST,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,10402,CORPORATION,RESIDENTIAL,SINGLE FAMILY,1680.0,10-15-2008,10-15-2008,5000.0,YY,OTHER,05-05-1950,0.0,,,29700.0,OLD STYLE,2.5,1900.0,Frame,SHINGLE,Full,C,AVERAGE,FAIR,AVERAGE,6.0,3.0,1.0,0.0,Central Heat,0.0,0,1794.0,1.0,,2019.0
0028E00048000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9624637045631, 40.4402791069895], [-79.962641885431, 40.4401490203226], [-79.9626792706563, 40.4401786939065], [-79.9624961764228, 40.44030486773], [-79.9624637045631, 40.4402791069895]]]]}",148, ,CHESTERFIELD RD,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,10403,REGULAR-ETAL,RESIDENTIAL,ROWHOUSE,896.0,07-09-2012,07-09-2012,112000.0,AA,SALE NOT ANALYZ,09-13-2001,53500.0,10-18-1999,1.0,112000.0,ROW INTERIOR,2,1900.0,Brick,SHINGLE,Full,C,AVERAGE,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat,0.0,0,1064.0,1.0,,2019.0
0011D00009000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.967120368257, 40.440909486898], [-79.9670514083942, 40.4406856719636], [-79.9671763735308, 40.4406643966556], [-79.9672568349842, 40.4408854511696], [-79.967120368257, 40.440909486898]]]]}",3114, ,ELLERS ST,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,10402,REGULAR,RESIDENTIAL,SINGLE FAMILY,1600.0,,09-16-2002,70000.0,H,MULTI-PARCEL SA,11-04-1970,0.0,,,58900.0,RANCH,1,1950.0,Brick,SHINGLE,Full,C,AVERAGE,FAIR,FAIR,6.0,3.0,1.0,0.0,Central Heat,0.0,0,1416.0,1.0,,2019.0
0011G00111000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9719464551227, 40.4388917716103], [-79.9720278051939, 40.4388594351496], [-79.9721461504545, 40.4390255475268], [-79.9720560334496, 40.4390454939256], [-79.9719464551227, 40.4388917716103]]]]}",26, ,GAZZAM ST,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,10404,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,1525.0,,11-30-1970,0.0,N,NOT APPLICABLE,,,,,29600.0,OLD STYLE,2,1900.0,Frame,SHINGLE,Full,C-,AVERAGE -,AVERAGE,AVERAGE,4.0,2.0,1.0,0.0,Floor Furnace,0.0,0,1232.0,1.0,,2019.0
0028A00026000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9656831040305, 40.4410188559639], [-79.9661147979327, 40.4409965525235], [-79.9661410196838, 40.440995200382], [-79.9661411791475, 40.4410766368316], [-79.9661147994099, 40.4410777602987], [-79.965688513558, 40.4410961172043], [-79.9656831040305, 40.4410188559639]]]]}",223, ,ROBINSON ST,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,10402,CORPORATION,RESIDENTIAL,SINGLE FAMILY,3240.0,12-05-2018,11-29-2018,120000.0,14,TIME ON MARKET,12-03-1986,0.0,,,47100.0,OLD STYLE,2,1915.0,Brick,SHINGLE,Full,C,AVERAGE,AVERAGE,AVERAGE,5.0,3.0,1.0,0.0,Central Heat,0.0,0,1176.0,1.0,,2019.0
0028B00264000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9593569991366, 40.441993163255], [-79.9594477932649, 40.4418942245145], [-79.9600808505261, 40.4422295682774], [-79.9599884797327, 40.4423297125097], [-79.9598654130124, 40.4424631355614], [-79.9596553216935, 40.4423360402096], [-79.9592365354567, 40.4421244328549], [-79.9593569991366, 40.441993163255]]]]}",0, ,5TH AVE,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,PITTSBURGH URBAN,CORPORATION,OTHER,CHARITABLE EXEMPTION/HOS/HOMES,23281.0,,02-07-1984,0.0,3,LOVE&AFFECTION,,,,,675300.0,,,,,,,,,,,,,,,,,,,,,2019.0
0028B00294000A00,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.959556850286, 40.441766035281], [-79.9598403425635, 40.4414637066106], [-79.9598554785729, 40.4414713966432], [-79.9605097334464, 40.4418037948311], [-79.9604904589887, 40.4419193503887], [-79.9603728625075, 40.4421510407625], [-79.9603395709404, 40.4421857374453], [-79.9603339676217, 40.4421915768924], [-79.9602151228495, 40.4423101363793], [-79.9601253461778, 40.4422656193199], [-79.9601127070167, 40.4422593520439], [-79.9601907513626, 40.4421678184886], [-79.9595016494796, 40.4418249040535], [-79.9595133241126, 40.4418124540756], [-79.9595191777594, 40.4418062113168], [-79.959556850286, 40.441766035281]]]]}",190, ,LOTHROP ST,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,PITTSBURGH URBAN,CORPORATION,GOVERNMENT,OWNED BY COLLEGE/UNIV/ACADEMY,3694.0,,02-07-1984,0.0,3,LOVE&AFFECTION,,,,,14800.0,,,,,,,,,,,,,,,,,,,,,2019.0
0028E00156000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9650348035053, 40.4392466126981], [-79.9653933649294, 40.4392355729621], [-79.9653983888302, 40.4393037126824], [-79.9650397583729, 40.4393180470245], [-79.9650348035053, 40.4392466126981]]]]}",148, ,ROBINSON ST,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,10402,REGULAR-ETAL,RESIDENTIAL,SINGLE FAMILY,2500.0,12-29-2017,12-27-2017,1.0,3,LOVE&AFFECTION,10-30-2015,0.0,12-05-2014,1.0,56200.0,OLD STYLE,2,1920.0,Brick,SHINGLE,Full,C+,AVERAGE +,FAIR,FAIR,8.0,2.0,2.0,0.0,Central Heat,0.0,0,2700.0,1.0,,2019.0
0011L00052000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9723986341005, 40.437896233278], [-79.9724891641165, 40.4377399014725], [-79.9725518855504, 40.4377602259133], [-79.972461038812, 40.4379161090681], [-79.9723986341005, 40.437896233278]]]]}",0, ,5TH AVE,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,PITTSBURGH URBAN,CORPORATION,GOVERNMENT,MUNICIPAL GOVERNMENT,1181.0,01-11-2012,01-11-2012,24225.0,2,CITY TREASURER,06-19-1985,7500.0,,,1900.0,,,,,,,,,,,,,,,,,,,,,2019.0
0028A00022000000,"{'type': 'MultiPolygon', 'coordinates': [[[[-79.9656621392853, 40.4407207144483], [-79.9661148048992, 40.4407095400912], [-79.9661860980095, 40.4407092048685], [-79.9661628019216, 40.4407293518856], [-79.9661438364241, 40.4407473350494], [-79.9661406493371, 40.4407687899855], [-79.9661147693248, 40.4407714147059], [-79.9656670769243, 40.4407908236942], [-79.9656621392853, 40.4407207144483]]]]}",215, ,ROBINSON ST,PITTSBURGH,PA, ,15213,4th Ward - PITTSBURGH,Pittsburgh,10402,REGULAR,RESIDENTIAL,SINGLE FAMILY,4092.0,,03-27-1980,26000.0,0,VALID SALE,,,,,50400.0,OLD STYLE,2,1915.0,Brick,SHINGLE,Full,C,AVERAGE,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat,0.0,0,1260.0,1.0,,2019.0
